Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",22y 217d,88 (19-1-68 22.16%),58 (0.66),←,
25,"Bews, Andrew",29y 285d,213 (112-1-100 52.82%),132 (0.62),6 (2-0-4 33.33%),
1,"Champion, Richard",26y 16d,62 (12-1-49 20.16%),26 (0.42),←,
16,"Clarke, Matthew",20y 224d,9 (2-0-7 22.22%),,←,
12,"Clarke, Troy",24y 326d,52 (10-1-41 20.19%),26 (0.50),←,
20,"Craven, Danny",26y 362d,44 (22-1-21 51.14%),14 (0.32),11 (4-0-7 36.36%),4 (0.36)
6,"Fletcher, Adrian",24y 202d,71 (31-0-40 43.66%),38 (0.54),26 (6-0-20 23.08%),18 (0.69)
29,"Francis, Fabian",20y 188d,16 (4-0-12 25.00%),13 (0.81),15 (3-0-12 20.00%),13 (0.87)
41,"Kennedy, Matthew",24y 85d,63 (12-0-51 19.05%),14 (0.22),←,
18,"Lambert, Craig",25y 207d,128 (35-0-93 27.34%),54 (0.42),5 (2-0-3 40.00%),1 (0.20)
44,"Lappin, Nigel",17y 313d,4 (1-0-3 25.00%),4 (1.00),←,
15,"Lehmann, Troy",22y 64d,36 (23-0-13 63.89%),27 (0.75),5 (1-0-4 20.00%),3 (0.60)
17,"Leslie, Martin",31y 164d,88 (20-1-67 23.30%),9 (0.10),←,
11,"Lynch, Alastair",25y 315d,123 (45-0-78 36.59%),187 (1.52),3 (1-0-2 33.33%),14 (4.67)
7,"McIvor, Scott",27y 264d,151 (52-0-99 34.44%),62 (0.41),96 (26-0-70 27.08%),47 (0.49)
19,"McLean, Michael",29y 58d,145 (56-2-87 39.31%),37 (0.26),50 (9-0-41 18.00%),14 (0.28)
24,"Merrett, Roger",34y 11d,265 (124-3-138 47.36%),335 (1.26),116 (27-1-88 23.71%),187 (1.61)
8,"Peos, Paul",26y 92d,69 (27-2-40 40.58%),45 (0.65),18 (3-0-15 16.67%),17 (0.94)
22,"Scott, Chris",17y 362d,6 (2-0-4 33.33%),3 (0.50),←,
9,"Starcevich, Craig",26y 349d,129 (76-3-50 60.08%),166 (1.29),5 (1-0-4 20.00%),4 (0.80)
33,"White, Darryl",20y 322d,37 (8-1-28 22.97%),36 (0.97),←,
Totals,Totals,25y 19d,1799 (693-17-1089 38.52%),1286 (0.71),,
C,"Walls, Robert",43y 283d,269 (128-2-139 47.96%),,70 (13-1-56 19.29%),
