Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
1,"Anderson, Greg",27y 351d,130 (83-0-47 63.85%),75 (0.58),27 (16-0-11 59.26%),15 (0.56)
21,"Brown, David",24y 213d,39 (20-0-19 51.28%),39 (1.00),←,
19,"Chalmers, Brett",21y 7d,3 (2-0-1 66.67%),1 (0.33),←,
50,"Groom, Chris",20y 245d,12 (7-0-5 58.33%),8 (0.67),←,
9,"Hall, Tony",29y 226d,102 (78-0-24 76.47%),153 (1.50),5 (4-0-1 80.00%),9 (1.80)
34,"Hart, Ben",19y 295d,48 (26-0-22 54.17%),7 (0.15),←,
35,"Jameson, Rod",23y 304d,58 (34-0-24 58.62%),78 (1.34),←,
27,"Liptak, Matthew",24y,60 (34-0-26 56.67%),84 (1.40),←,
10,"McDermott, Chris",30y 177d,72 (38-0-34 52.78%),23 (0.32),←,
11,"McGuinness, Tony",29y 359d,177 (86-2-89 49.15%),164 (0.93),68 (36-0-32 52.94%),56 (0.82)
6,"Modra, Tony",25y 60d,36 (20-0-16 55.56%),182 (5.06),←,
15,"Pittman, David",25y 66d,23 (12-0-11 52.17%),1 (0.04),←,
52,"Rehn, Shaun",22y 256d,48 (26-0-22 54.17%),14 (0.29),←,
32,"Ricciuto, Mark",18y 326d,24 (13-0-11 54.17%),9 (0.38),←,
40,"Schwerdt, Stephen",25y 337d,19 (9-0-10 47.37%),4 (0.21),←,
7,"Smart, Nigel",24y 344d,65 (34-0-31 52.31%),37 (0.57),←,
4,"Tasker, Sean",25y 316d,30 (13-0-17 43.33%),10 (0.33),←,
17,"Tongerie, Shane",23y 79d,1 (1-0-0 100.00%),3 (3.00),←,
12,"Tregenza, Simon",23y 52d,59 (32-0-27 54.24%),10 (0.17),←,
49,"Viska, Mark",23y 1d,19 (12-0-7 63.16%),1 (0.05),←,
44,"Wellman, Sean",19y 222d,1 (1-0-0 100.00%),,←,
Totals,Totals,24y 97d,1026 (581-2-443 56.63%),903 (0.88),,
C,"Cornes, Graham",46y 30d,73 (38-0-35 52.05%),,←,
