Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Bickley, Mark",9,4,9,18,,,,5.0,,,,,1.0,1.0,,,,,,,,,
18,"Bond, Troy",15,6,9,24,1,1.0,,1.0,,,,,2.0,,,,,,,,,,
44,"Caven, Peter",7,3,5,12,,1.0,,,,,,,2.0,1.0,,,,,,,,,
14,"Connell, Matthew",16,5,11,27,,,,1.0,,,,,,1.0,,,,,,,,,
37,"Edwards, Tyson",5,3,2,7,1,,,,,,,,1.0,1.0,,,,,,,,,
13,"Ellen, Shane",1,3,4,5,,,,2.0,,,,,,1.0,,,,,,,,,
34,"Hart, Ben",8,4,4,12,,,,1.0,,,,,1.0,1.0,,,,,,,,,
35,"Jameson, Rod",11,3,3,14,1,,,3.0,,,,,2.0,,,,,,,,,,
3,"Jarman, Darren",15,5,6,21,2,2.0,,4.0,,,,,2.0,,,,,,,,,,
28,"Johnson, Kane",1,1,1,2,,,,,,,,,,2.0,,,,,,,,,
27,"Liptak, Matthew",9,2,8,17,1,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
8,"McCartney, Jason",3,,2,5,,,,1.0,,,,,1.0,2.0,,,,,,,,,
11,"McGuinness, Tony",13,3,5,18,,,,1.0,,,,,1.0,3.0,,,,,,,,,
23,"McLeod, Andrew",6,1,1,7,,1.0,,1.0,,,,,,1.0,,,,,,,,,
6,"Modra, Tony",1,1,,1,1,,,,,,,,,,,,,,,,,,
15,"Pittman, David",6,5,5,11,,,11.0,,,,,,4.0,4.0,,,,,,,,,
32,"Ricciuto, Mark",12,4,10,22,1,,,,,,,,1.0,3.0,,,,,,,,,
5,"Robran, Matthew",5,5,4,9,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
7,"Smart, Nigel",13,3,8,21,1,,1.0,3.0,,,,,1.0,,,,,,,,,,
30,"Vardy, Peter",2,,2,4,,1.0,,1.0,,,,,,1.0,,,,,,,,,
33,"Weidemann, Wayne",3,2,3,6,,,,1.0,,,,,,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,161,63,102,263,9,10.0,12.0,29.0,,,,,21.0,26.0,,,,,,,,,
Opposition,Opposition,224,86,106,330,19,17.0,20.0,34.0,,,,,26.0,21.0,6.0,,,,,,,,
