Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Casboult, Levi",9,7,3,12,2,1.0,8.0,3.0,,2.0,1.0,1.0,1.0,,,7.0,5.0,5.0,2.0,4.0,,,86.0
9,"Cripps, Patrick",8,6,21,29,1,1.0,,6.0,3.0,2.0,9.0,2.0,2.0,1.0,,19.0,10.0,3.0,2.0,3.0,,1.0,91.0
28,"Cuningham, David",7,3,3,10,1,,,4.0,,2.0,1.0,2.0,,1.0,,4.0,6.0,,1.0,,,1.0,68.0
30,"Curnow, Charlie",18,11,4,22,1,,1.0,,,4.0,2.0,5.0,1.0,2.0,,7.0,12.0,4.0,2.0,2.0,,,80.0
15,"Docherty, Sam",23,11,7,30,,,,4.0,3.0,3.0,1.0,1.0,,,,4.0,25.0,,,4.0,3.0,1.0,94.0
25,"Fisher, Zac",4,,5,9,,,,4.0,,,1.0,1.0,,,,7.0,2.0,,,,,,68.0
4,"Gibbs, Bryce",16,5,14,30,2,,,15.0,,4.0,7.0,3.0,,1.0,1.0,17.0,14.0,1.0,1.0,2.0,,1.0,87.0
32,"Graham, Nick",14,8,10,24,,1.0,,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,6.0,19.0,,,,,,69.0
14,"Jones, Liam",12,9,7,19,,,,3.0,3.0,1.0,,1.0,3.0,,3.0,12.0,8.0,5.0,,10.0,,,98.0
11,"Kerridge, Sam",14,5,13,27,1,,,5.0,6.0,4.0,,3.0,1.0,1.0,,9.0,18.0,,,,2.0,,90.0
8,"Kreuzer, Matthew",10,8,4,14,,,42.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,,8.0,6.0,4.0,1.0,1.0,,,88.0
22,"Marchbank, Caleb",11,3,3,14,,,,,3.0,2.0,,2.0,2.0,2.0,,6.0,8.0,,,6.0,,,70.0
3,"Murphy, Marc",16,6,13,29,,,,9.0,3.0,5.0,2.0,2.0,2.0,,,6.0,23.0,,,,,,90.0
20,"Plowman, Lachie",5,4,7,12,,,,,2.0,1.0,1.0,1.0,,,,6.0,7.0,,,5.0,,,88.0
21,"Sheehan, Ciaran",6,2,4,10,,,,1.0,1.0,3.0,,2.0,,1.0,,4.0,7.0,,,3.0,,,79.0
1,"Silvagni, Jack",3,2,2,5,1,,,6.0,,3.0,,1.0,,,,,5.0,,,1.0,2.0,,80.0
6,"Simpson, Kade",16,7,10,26,,,,3.0,1.0,5.0,3.0,2.0,1.0,1.0,,5.0,21.0,,,1.0,4.0,2.0,94.0
19,"Sumner, Liam",3,3,1,4,1,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,3.0,,2.0,2.0,,,68.0
39,"Thomas, Dale",11,7,7,18,1,,,1.0,,3.0,1.0,6.0,1.0,1.0,,5.0,13.0,,1.0,1.0,1.0,,73.0
23,"Weitering, Jacob",13,4,9,22,,,,,3.0,,,1.0,2.0,,,9.0,10.0,1.0,,3.0,2.0,,80.0
43,"White, Simon",12,6,6,18,,,,3.0,1.0,1.0,,3.0,1.0,,,5.0,13.0,,,2.0,,,80.0
46,"Wright, Matthew",9,,1,10,1,,,7.0,,1.0,2.0,2.0,1.0,1.0,,4.0,8.0,,,2.0,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,240,117,154,394,12,5.0,51.0,83.0,33.0,50.0,33.0,46.0,20.0,15.0,4.0,151.0,243.0,23.0,12.0,52.0,14.0,6.0,
Opposition,Opposition,185,73,168,353,13,11.0,40.0,87.0,35.0,50.0,38.0,50.0,15.0,20.0,2.0,140.0,218.0,10.0,12.0,35.0,5.0,8.0,
