Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
41,"Casboult, Levi",29y 134d,120 (36-1-83 30.42%),131 (1.09),←,
9,"Cripps, Patrick",24y 131d,97 (23-1-73 24.23%),46 (0.47),←,
35,"Curnow, Ed",29y 262d,161 (59-2-100 37.27%),35 (0.22),←,
47,"Deluca, Josh",23y 77d,6 (2-0-4 33.33%),4 (0.67),2 (2-0-0 100.00%),2 (1.00)
2,"Dow, Paddy",19y 284d,37 (7-0-30 18.92%),13 (0.35),←,
40,"Gibbons, Michael",24y 73d,18 (6-0-12 33.33%),12 (0.67),←,
14,"Jones, Liam",28y 153d,124 (42-0-82 33.87%),84 (0.68),58 (15-0-43 25.86%),16 (0.28)
7,"Kennedy, Matthew",22y 112d,38 (16-2-20 44.74%),19 (0.50),19 (5-0-14 26.32%),12 (0.63)
16,"Lang, Darcy",23y 248d,60 (31-1-28 52.50%),40 (0.67),16 (5-0-11 31.25%),9 (0.56)
10,"McKay, Harry",21y 215d,31 (7-0-24 22.58%),47 (1.52),←,
3,"Murphy, Marc",32y 8d,264 (104-1-159 39.58%),181 (0.69),←,
24,"Newman, Nic",26y 193d,47 (26-0-21 55.32%),10 (0.21),16 (6-0-10 37.50%),2 (0.13)
4,"OBrien, Lochie",19y 312d,31 (8-0-23 25.81%),8 (0.26),←,
5,"Petrevski-Seton, Sam",21y 158d,60 (13-0-47 21.67%),19 (0.32),←,
34,"Phillips, Andrew",28y 24d,40 (6-0-34 15.00%),15 (0.38),26 (4-0-22 15.38%),10 (0.38)
20,"Plowman, Lachie",24y 319d,90 (24-0-66 26.67%),1 (0.01),70 (20-0-50 28.57%),
43,"Setterfield, Will",21y 172d,16 (6-0-10 37.50%),6 (0.38),14 (5-0-9 35.71%),6 (0.43)
1,"Silvagni, Jack",21y 222d,56 (12-0-44 21.43%),44 (0.79),←,
6,"Simpson, Kade",35y 83d,321 (116-3-202 36.60%),138 (0.43),←,
39,"Thomas, Dale",32y 36d,255 (130-2-123 51.37%),155 (0.61),98 (27-0-71 27.55%),34 (0.35)
18,"Walsh, Sam",19y 25d,18 (6-0-12 33.33%),4 (0.22),←,
23,"Weitering, Jacob",21y 246d,73 (17-0-56 23.29%),10 (0.14),←,
Totals,Totals,25y 9d,1963 (697-13-1253 35.51%),1022 (0.52),,
C,"Teague, David",38y 83d,7 (5-0-2 71.43%),,←,
