Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Berry, Sam",20y 168d,32 (11-0-21 34.38%),7 (0.22),←,
41,"Butts, Jordon",22y 211d,40 (13-0-27 32.50%),,←,
40,"Davis, Ben",25y 72d,8 (2-0-6 25.00%),1 (0.13),←,
12,"Dawson, Jordan",25y 112d,83 (36-0-47 43.37%),44 (0.53),19 (6-0-13 31.58%),10 (0.53)
32,"Fogarty, Darcy",22y 308d,55 (17-0-38 30.91%),72 (1.31),←,
17,"Hamill, Will",21y 255d,37 (9-0-28 24.32%),1 (0.03),←,
34,"Himmelberg, Elliott",24y 56d,37 (13-0-24 35.14%),38 (1.03),←,
20,"Hinge, Mitch",24y 34d,18 (7-0-11 38.89%),3 (0.17),15 (5-0-10 33.33%),2 (0.13)
1,"Jones, Chayce",22y 197d,55 (13-0-42 23.64%),10 (0.18),←,
2,"Keays, Ben",25y 157d,87 (22-0-65 25.29%),36 (0.41),57 (16-0-41 28.07%),25 (0.44)
29,"Laird, Rory",28y 213d,199 (100-1-98 50.50%),22 (0.11),←,
23,"McAdam, Shane",27y 63d,41 (14-0-27 34.15%),55 (1.34),←,
25,"McHenry, Ned",22y 17d,46 (13-0-33 28.26%),21 (0.46),←,
30,"Milera, Wayne",24y 319d,72 (38-1-33 53.47%),26 (0.36),←,
4,"Murphy, Lachlan",23y 238d,73 (28-0-45 38.36%),54 (0.74),←,
28,"Murray, Nick",21y 224d,26 (5-0-21 19.23%),1 (0.04),←,
43,"OBrien, Reilly",26y 344d,74 (26-0-48 35.14%),7 (0.09),←,
37,"Parnell, Patrick",20y 148d,8 (3-0-5 37.50%),,←,
26,"Schoenberg, Harry",21y 159d,43 (14-0-29 32.56%),16 (0.37),←,
33,"Smith, Brodie",30y 197d,222 (115-1-106 52.03%),67 (0.30),←,
14,"Soligo, Jake",19y 186d,13 (3-0-10 23.08%),6 (0.46),←,
13,"Walker, Taylor",32y 96d,235 (119-1-115 50.85%),531 (2.26),←,
24,"Worrell, Josh",21y 110d,2 (2-0-0 100.00%),,←,
Totals,Totals,24y 42d,1506 (623-4-879 41.37%),1018 (0.68),,
C,"Nicks, Matthew",47y 78d,57 (16-0-41 28.07%),,←,
