Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3 ↑,"Berry, Sam",4,,5,9,1.0,,,2.0,,,1.0,,,,,3,6.0,,,,,,21.0
41,"Butts, Jordon",2,3.0,9,11,,,,3.0,,,,2.0,1.0,,,5,7.0,1.0,,3.0,,,89.0
15,"Cook, Brayden",5,1.0,4,9,1.0,,,,,3.0,1.0,1.0,,,,2,8.0,,1.0,2.0,,1.0,69.0
5,"Crouch, Matt",10,5.0,17,27,,,,3.0,,4.0,6.0,6.0,1.0,2.0,,9,19.0,1.0,,,,,67.0
12,"Dawson, Jordan",9,2.0,3,12,1.0,,,5.0,2.0,3.0,2.0,3.0,1.0,2.0,,3,10.0,,1.0,1.0,,1.0,88.0
32,"Fogarty, Darcy",2,2.0,4,6,,,,2.0,,,,4.0,,3.0,,4,3.0,,,,,2.0,82.0
44 ↓,"Gollant, Lachlan",4,,1,5,1.0,,4.0,2.0,,1.0,1.0,,1.0,,,2,,,,1.0,,,52.0
17,"Hamill, Will",8,2.0,2,10,,,,1.0,3.0,1.0,,3.0,1.0,1.0,,3,7.0,,,1.0,,,73.0
20,"Hinge, Mitch",14,4.0,12,26,,,,3.0,5.0,2.0,2.0,2.0,1.0,1.0,,11,10.0,,,1.0,,,87.0
1,"Jones, Chayce",8,2.0,12,20,,,,6.0,2.0,2.0,2.0,1.0,1.0,,,9,13.0,,,,,,80.0
48,"Keane, Mark",11,4.0,3,14,,,,,5.0,,,2.0,1.0,2.0,,3,6.0,1.0,,8.0,,,95.0
2,"Keays, Ben",13,10.0,7,20,3.0,1.0,,1.0,,4.0,1.0,4.0,,2.0,,3,17.0,,3.0,,,2.0,87.0
29,"Laird, Rory",8,2.0,14,22,,,,5.0,4.0,3.0,3.0,4.0,,1.0,,7,16.0,,,,,1.0,68.0
25,"McHenry, Ned",7,4.0,1,8,,1.0,,4.0,2.0,1.0,,2.0,1.0,,,2,6.0,,1.0,,,,81.0
16,"Michalanney, Max",5,3.0,4,9,,,,4.0,3.0,1.0,,,1.0,,,4,6.0,,,2.0,,,83.0
27,"Nankervis, Luke",9,8.0,9,18,,,,1.0,1.0,2.0,,1.0,,,,3,14.0,,,2.0,,1.0,68.0
43,"OBrien, Reilly",3,3.0,8,11,,,38.0,5.0,1.0,1.0,4.0,5.0,1.0,2.0,,7,6.0,1.0,,3.0,,,90.0
8,"Rachele, Josh",11,4.0,4,15,2.0,,,,,5.0,3.0,2.0,2.0,,,6,9.0,,,1.0,,1.0,86.0
23,"Rankine, Izak",17,6.0,6,23,3.0,1.0,,2.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,11,12.0,1.0,6.0,,2.0,1.0,92.0
33,"Smith, Brodie",10,4.0,9,19,,1.0,,,1.0,4.0,,3.0,2.0,1.0,,7,14.0,,,2.0,,1.0,86.0
14,"Soligo, Jake",9,1.0,18,27,,,,3.0,1.0,4.0,6.0,5.0,4.0,3.0,2.0,15,14.0,,,2.0,2.0,,81.0
13,"Walker, Taylor",12,10.0,2,14,4.0,,1.0,1.0,,4.0,,2.0,1.0,,,2,12.0,,6.0,2.0,,1.0,87.0
24,"Worrell, Josh",8,5.0,4,12,,,,,6.0,,,2.0,,,,5,5.0,1.0,,7.0,,,87.0
Totals,Totals,189,85.0,158,347,16.0,4.0,43.0,53.0,37.0,48.0,34.0,58.0,21.0,21.0,3.0,126,220.0,6.0,18.0,38.0,4.0,12.0,
Opposition,Opposition,213,96.0,126,339,14.0,14.0,35.0,62.0,33.0,52.0,41.0,45.0,21.0,21.0,3.0,132,204.0,10.0,11.0,29.0,4.0,9.0,
