Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Bickley, Mark",10,,12,22,,,,1.0,,,,,2.0,1.0,,,,,,,,,
21,"Brown, David",7,3,3,10,,,,1.0,,,,,1.0,,,,,,,,,,
34,"Hart, Ben",4,1,7,11,,,,2.0,,,,,,,,,,,,,,,
3,"Hart, Darel",10,1,4,14,,2.0,,,,,,,1.0,,,,,,,,,,
29,"Ingerson, Anthony",7,3,3,10,1,1.0,3.0,4.0,,,,,1.0,2.0,,,,,,,,,
35,"Jameson, Rod",10,2,6,16,1,,,,,,,,2.0,2.0,,,,,,,,,
2,"Jarman, Andrew",17,3,15,32,,1.0,,2.0,,,,,,4.0,,,,,,,,,
13,"Lee, Scott",24,6,9,33,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
27,"Liptak, Matthew",9,,10,19,1,,,,,,,,1.0,,,,,,,,,,
18,"Maynard, Rodney",8,6,5,13,,,,1.0,,,,,2.0,2.0,,,,,,,,,
10,"McDermott, Chris",18,6,14,32,,,,3.0,,,,,1.0,5.0,,,,,,,,,
25,"Mickan, Mark",10,8,5,15,,,16.0,,,,,,1.0,1.0,,,,,,,,,
6,"Modra, Tony",10,6,2,12,5,3.0,,,,,,,,2.0,,,,,,,,,
52,"Rehn, Shaun",1,2,6,7,,,9.0,,,,,,,,,,,,,,,,
36,"Sanderson, Brenton",3,,3,6,,,,,,,,,1.0,1.0,,,,,,,,,
40,"Schwerdt, Stephen",20,8,5,25,,,,1.0,,,,,2.0,,,,,,,,,,
7,"Smart, Nigel",19,5,8,27,,,,4.0,,,,,3.0,,1.0,,,,,,,,
4,"Tasker, Sean",5,2,4,9,,,,,,,,,1.0,1.0,,,,,,,,,
12,"Tregenza, Simon",12,2,6,18,,,,,,,,,,1.0,,,,,,,,,
33,"Weidemann, Wayne",18,4,8,26,,,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,68,135,357,9,10.0,28.0,21.0,,,,,20.0,25.0,1.0,,,,,,,,
Opposition,Opposition,209,72,84,293,9,15.0,27.0,21.0,,,,,25.0,20.0,5.0,,,,,,,,
