Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
5,"Abernethy, Bruce",28y 338d,103 (60-0-43 58.25%),37 (0.36),2 (1-0-1 50.00%),
14,"Bartlett, Allan",23y 325d,3 (1-0-2 33.33%),,←,
26,"Bickley, Mark",21y 252d,1 (0-0-1 0.00%),,←,
30,"Fielke, Grantley",29y 26d,20 (6-0-14 30.00%),16 (0.80),4 (2-0-2 50.00%),1 (0.25)
19,"Hughes, Danny",27y 130d,126 (65-0-61 51.59%),23 (0.18),2 (1-0-1 50.00%),
2,"Jarman, Andrew",25y 89d,4 (2-0-2 50.00%),3 (0.75),←,
20,"Klug, John",25y 197d,4 (2-0-2 50.00%),10 (2.50),←,
13,"Lee, Scott",27y 312d,4 (2-0-2 50.00%),,←,
32,"Lindsay, Bruce",29y 265d,3 (1-0-2 33.33%),,←,
16,"Marshall, David",30y 287d,4 (2-0-2 50.00%),5 (1.25),←,
18,"Maynard, Rodney",24y 204d,4 (2-0-2 50.00%),5 (1.25),←,
10,"McDermott, Chris",27y 160d,4 (2-0-2 50.00%),3 (0.75),←,
11,"McGuinness, Tony",26y 342d,113 (52-2-59 46.90%),113 (1.00),4 (2-0-2 50.00%),5 (1.25)
23,"McIntyre, Peter",24y 97d,2 (1-0-1 50.00%),5 (2.50),←,
25,"Mickan, Mark",30y 73d,49 (12-0-37 24.49%),26 (0.53),1 (0-0-1 0.00%),
1,"Negri, Romano",26y 195d,4 (2-0-2 50.00%),,←,
31,"Rowe, Stephen",25y 161d,2 (1-0-1 50.00%),1 (0.50),←,
7,"Smart, Nigel",21y 327d,4 (2-0-2 50.00%),1 (0.25),←,
28,"Smith, Darren",26y 63d,4 (2-0-2 50.00%),7 (1.75),←,
12,"Tregenza, Simon",20y 35d,4 (2-0-2 50.00%),,←,
Totals,Totals,26y 66d,462 (219-2-241 47.40%),255 (0.55),,
C,"Cornes, Graham",43y 13d,4 (2-0-2 50.00%),,←,
