Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
1,"Anderson, Greg",27y 127d,125 (79-0-46 63.20%),75 (0.60),22 (12-0-10 54.55%),15 (0.68)
26,"Bickley, Mark",24y 45d,63 (32-0-31 50.79%),19 (0.30),←,
21,"Brown, David",23y 354d,33 (16-0-17 48.48%),32 (0.97),←,
34,"Hart, Ben",19y 71d,42 (22-0-20 52.38%),6 (0.14),←,
17,"Hodges, Scott",25y 145d,36 (19-0-17 52.78%),95 (2.64),←,
2,"Jarman, Andrew",27y 247d,59 (31-0-28 52.54%),36 (0.61),←,
13,"Lee, Scott",30y 105d,66 (34-0-32 51.52%),16 (0.24),←,
27,"Liptak, Matthew",23y 141d,54 (30-0-24 55.56%),73 (1.35),←,
18,"Maynard, Rodney",26y 362d,60 (29-0-31 48.33%),14 (0.23),←,
10,"McDermott, Chris",29y 318d,66 (34-0-32 51.52%),19 (0.29),←,
11,"McGuinness, Tony",29y 135d,172 (83-2-87 48.84%),163 (0.95),63 (33-0-30 52.38%),55 (0.87)
6,"Modra, Tony",24y 201d,31 (17-0-14 54.84%),150 (4.84),←,
15,"Pittman, David",24y 207d,18 (9-0-9 50.00%),1 (0.06),←,
52,"Rehn, Shaun",22y 32d,43 (23-0-20 53.49%),14 (0.33),←,
32,"Ricciuto, Mark",18y 102d,19 (10-0-9 52.63%),2 (0.11),←,
7,"Smart, Nigel",24y 120d,59 (30-0-29 50.85%),25 (0.42),←,
12,"Tregenza, Simon",22y 193d,53 (28-0-25 52.83%),9 (0.17),←,
49,"Viska, Mark",22y 142d,13 (8-0-5 61.54%),1 (0.08),←,
33,"Weidemann, Wayne",26y 332d,37 (18-0-19 48.65%),8 (0.22),←,
14,"Wigney, Stuart",24y 152d,53 (21-1-31 40.57%),31 (0.58),5 (2-0-3 40.00%),10 (2.00)
Totals,Totals,24y 323d,1102 (573-3-526 52.00%),789 (0.72),,
C,"Cornes, Graham",45y 171d,67 (34-0-33 50.75%),,←,
