Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
25,"Beinke, Bryan",25y 314d,27 (14-0-13 51.85%),32 (1.19),←,
26,"Bickley, Mark",31y 315d,217 (105-0-112 48.39%),67 (0.31),←,
4,"Clarke, Matthew",27y 270d,150 (69-2-79 46.67%),23 (0.15),20 (7-0-13 35.00%),4 (0.20)
1,"Crowell, Andrew",23y 304d,24 (11-0-13 45.83%),10 (0.42),←,
9,"Edwards, Tyson",24y 313d,115 (56-0-59 48.70%),69 (0.60),←,
38,"Gallagher, David",20y 314d,24 (10-0-14 41.67%),2 (0.08),←,
41,"Gallagher, James",21y 210d,1 (0-0-1 0.00%),,←,
36,"Goodwin, Simon",24y 171d,84 (44-0-40 52.38%),38 (0.45),←,
34,"Hart, Ben",26y 341d,213 (104-1-108 49.06%),39 (0.18),←,
3,"Jarman, Darren",34y 138d,219 (123-0-96 56.16%),353 (1.61),110 (58-0-52 52.73%),231 (2.10)
28,"Johnson, Kane",23y 92d,74 (37-0-37 50.00%),24 (0.32),←,
40,"Ladhams, Chris",20y 237d,12 (6-0-6 50.00%),5 (0.42),←,
31,"Marsh, Ben",24y 341d,29 (16-0-13 55.17%),13 (0.45),←,
23,"McLeod, Andrew",24y 315d,135 (66-0-69 48.89%),140 (1.04),←,
32,"Ricciuto, Mark",26y 7d,183 (85-1-97 46.72%),121 (0.66),←,
10,"Robran, Matthew",30y 88d,134 (71-0-63 52.99%),115 (0.86),127 (67-0-60 52.76%),110 (0.87)
12,"Shirley, Robert",21y 6d,8 (1-0-7 12.50%),,←,
7,"Smart, Nigel",32y 25d,217 (104-1-112 48.16%),104 (0.48),←,
20,"Stenglein, Tyson",20y 334d,31 (15-0-16 48.39%),5 (0.16),←,
19,"Stevens, Mark",25y 233d,76 (42-0-34 55.26%),43 (0.57),55 (26-0-29 47.27%),23 (0.42)
30,"Vardy, Peter",25y 140d,88 (45-0-43 51.14%),146 (1.66),←,
17,"Welsh, Scott",22y 190d,69 (40-0-29 57.97%),89 (1.29),33 (14-0-19 42.42%),59 (1.79)
Totals,Totals,25y 164d,2130 (1064-5-1061 49.95%),1438 (0.68),,
C,"Ayres, Gary",40y 260d,150 (80-1-69 53.67%),,34 (15-0-19 44.12%),
