Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Colyer, Travis",9,2,2,11,1,,,1.0,1.0,4.0,,3.0,1.0,1.0,,1.0,10.0,,,,,2.0,72.0
45,"Crameri, Stewart",8,6,9,17,2,,,3.0,,6.0,,2.0,3.0,2.0,,11.0,7.0,3.0,2.0,6.0,,,88.0
29,"Davey, Alwyn",8,4,2,10,2,1.0,,8.0,,3.0,,3.0,,3.0,,1.0,8.0,,2.0,1.0,,1.0,89.0
2,"Dyson, Ricky",15,3,6,21,,,,5.0,7.0,1.0,3.0,4.0,3.0,,,9.0,11.0,,,1.0,,,90.0
31,"Fletcher, Dustin",14,6,1,15,,,,2.0,7.0,,,4.0,,2.0,,1.0,9.0,,,8.0,,,98.0
34,"Hardingham, Kyle",11,5,7,18,,,,2.0,4.0,,1.0,4.0,1.0,1.0,,11.0,7.0,1.0,,17.0,,,94.0
21,"Heppell, Dyson",12,8,9,21,,,,1.0,3.0,3.0,3.0,1.0,1.0,,,7.0,14.0,,,3.0,,1.0,83.0
19,"Hille, David",6,3,9,15,,1.0,22.0,3.0,,1.0,3.0,1.0,,1.0,,8.0,7.0,1.0,,4.0,,1.0,88.0
39,"Hocking, Heath",10,2,14,24,,,,7.0,,1.0,9.0,4.0,3.0,3.0,,16.0,10.0,,,2.0,,,77.0
40 ↓,"Howlett, Ben",6,2,3,9,,,,2.0,1.0,,1.0,,,,,5.0,3.0,,,1.0,,,37.0
18,"Hurley, Michael",9,8,5,14,2,1.0,,3.0,2.0,1.0,,,1.0,,,3.0,12.0,1.0,3.0,3.0,,,92.0
7,"Jetta, Leroy",6,2,10,16,,,,3.0,1.0,1.0,1.0,5.0,,2.0,,1.0,14.0,,,2.0,,1.0,86.0
10,"McVeigh, Mark",13,3,6,19,1,1.0,,1.0,4.0,4.0,,3.0,,3.0,,3.0,16.0,,,2.0,,,88.0
17,"Melksham, Jake",14,5,9,23,,,,7.0,,3.0,5.0,5.0,1.0,1.0,,8.0,14.0,1.0,,1.0,,,75.0
6,"Monfries, Angus",22,10,13,35,1,2.0,,2.0,1.0,6.0,2.0,7.0,3.0,3.0,3.0,13.0,21.0,2.0,1.0,2.0,,,80.0
16,"Pears, Tayte",10,5,8,18,,,,7.0,3.0,,,3.0,,2.0,,9.0,10.0,,,13.0,,,94.0
9,"Prismall, Brent",9,3,7,16,,1.0,1.0,4.0,4.0,,,3.0,,1.0,,3.0,12.0,1.0,,3.0,,,77.0
37,"Reimers, Kyle",11,5,2,13,1,2.0,,,,4.0,,1.0,,,,5.0,9.0,,1.0,2.0,1.0,1.0,89.0
30,"Ryder, Paddy",6,6,5,11,1,,15.0,2.0,1.0,1.0,1.0,1.0,1.0,,,7.0,4.0,2.0,1.0,5.0,,3.0,91.0
20 ↑,"Slattery, Henry",3,1,5,8,,,,4.0,4.0,,,2.0,,1.0,,4.0,4.0,,,2.0,,,52.0
5,"Stanton, Brent",16,4,8,24,,1.0,,6.0,2.0,2.0,7.0,2.0,5.0,,,12.0,14.0,,1.0,1.0,,,83.0
11,"Zaharakis, David",13,3,9,22,1,,,6.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,10.0,13.0,,,,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,231,96,149,380,12,12.0,38.0,79.0,46.0,47.0,43.0,59.0,24.0,27.0,4.0,148.0,229.0,12.0,11.0,79.0,1.0,10.0,
Opposition,Opposition,212,88,170,382,10,13.0,44.0,73.0,29.0,60.0,32.0,57.0,27.0,24.0,2.0,163.0,217.0,24.0,8.0,56.0,12.0,7.0,
