Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Atkins, Rory",22y 277d,36 (28-0-8 77.78%),21 (0.58),←,
18,"Betts, Eddie",30y 140d,257 (121-3-133 47.67%),495 (1.93),73 (46-0-27 63.01%),205 (2.81)
16,"Brown, Luke",24y 205d,95 (56-0-39 58.95%),9 (0.09),←,
23,"Cameron, Charlie",22y 284d,53 (35-0-18 66.04%),62 (1.17),←,
44,"Crouch, Matt",21y 359d,51 (35-0-16 68.63%),10 (0.20),←,
26,"Douglas, Richard",30y 68d,199 (109-0-90 54.77%),136 (0.68),←,
17,"Hampton, Curtly",24y 36d,55 (12-0-43 21.82%),10 (0.18),4 (4-0-0 100.00%),
15,"Hartigan, Kyle",25y 159d,55 (39-0-16 70.91%),1 (0.02),←,
24,"Jacobs, Sam",29y 5d,153 (85-0-68 55.56%),37 (0.24),136 (78-0-58 57.35%),34 (0.25)
8,"Kelly, Jake",22y 84d,14 (9-0-5 64.29%),,←,
3,"Knight, Riley",22y 19d,16 (12-0-4 75.00%),12 (0.75),←,
29,"Laird, Rory",23y 107d,80 (49-0-31 61.25%),7 (0.09),←,
6,"Lever, Jake",21y 41d,38 (26-0-12 68.42%),2 (0.05),←,
27,"Lynch, Tom",26y 212d,87 (56-0-31 64.37%),130 (1.49),81 (52-0-29 64.20%),126 (1.56)
14,"Mackay, David",28y 264d,167 (101-0-66 60.48%),51 (0.31),←,
32,"Menzel, Troy",22y 205d,42 (16-1-25 39.29%),49 (1.17),2 (2-0-0 100.00%),2 (1.00)
30,"Milera, Wayne",19y 213d,12 (10-0-2 83.33%),6 (0.50),←,
22,"Otten, Andy",27y 335d,83 (45-0-38 54.22%),23 (0.28),←,
9,"Sloane, Rory",27y 29d,145 (85-0-60 58.62%),90 (0.62),←,
33,"Smith, Brodie",25y 91d,124 (76-0-48 61.29%),37 (0.30),←,
12,"Talia, Daniel",25y 195d,126 (76-0-50 60.32%),6 (0.05),←,
13,"Walker, Taylor",26y 355d,133 (76-0-57 57.14%),314 (2.36),←,
Totals,Totals,25y 1d,2021 (1157-4-860 57.25%),1508 (0.75),,
C,"Pyke, Don",48y 131d,28 (21-0-7 75.00%),,←,
