Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
6,"Caldwell, Jye",23y 204d,61 (24-0-37 39.34%),20 (0.33),50 (21-0-29 42.00%),19 (0.38)
13,"Cox, Nik",22y 95d,39 (16-0-23 41.03%),11 (0.28),←,
33,"Davey, Alwyn",20y 53d,13 (7-0-6 53.85%),5 (0.38),←,
2,"Draper, Sam",25y 204d,62 (24-0-38 38.71%),26 (0.42),←,
22,"Durham, Sam",22y 285d,54 (25-0-29 46.30%),13 (0.24),←,
28,"Duursma, Xavier",23y 287d,79 (51-0-28 64.56%),36 (0.46),6 (4-0-2 66.67%),3 (0.50)
17,"Goldstein, Todd",35y 293d,321 (134-2-185 42.06%),159 (0.50),6 (4-0-2 66.67%),2 (0.33)
11,"Gresham, Jade",26y 239d,142 (68-1-73 48.24%),145 (1.02),6 (4-0-2 66.67%),9 (1.50)
21,"Heppell, Dyson",31y 341d,241 (114-2-125 47.72%),67 (0.28),←,
19,"Hind, Nick",29y 244d,85 (37-0-48 43.53%),26 (0.31),64 (28-0-36 43.75%),9 (0.14)
8,"Hobbs, Ben",20y 216d,40 (16-0-24 40.00%),15 (0.38),←,
23,"Jones, Harry",23y 54d,36 (20-0-16 55.56%),42 (1.17),←,
29,"Kelly, Jake",29y 89d,153 (67-1-85 44.12%),3 (0.02),43 (17-0-26 39.53%),2 (0.05)
4,"Langford, Kyle",27y 140d,136 (58-1-77 43.01%),141 (1.04),←,
15,"Laverde, Jayden",28y 7d,115 (51-0-64 44.35%),38 (0.33),←,
37,"Martin, Nic",23y 16d,50 (22-0-28 44.00%),38 (0.76),←,
1,"McGrath, Andrew",25y 322d,140 (67-1-72 48.21%),20 (0.14),←,
32,"McKay, Ben",26y 117d,77 (12-1-64 16.23%),1 (0.01),6 (4-0-2 66.67%),
7,"Merrett, Zach",28y 199d,212 (92-2-118 43.87%),67 (0.32),←,
3,"Parish, Darcy",26y 269d,154 (62-1-91 40.58%),54 (0.35),←,
27,"Redman, Mason",26y 237d,108 (50-1-57 46.76%),18 (0.17),←,
25,"Stringer, Jake",29y 360d,195 (97-0-98 49.74%),339 (1.74),106 (49-0-57 46.23%),179 (1.69)
5,"Tsatas, Elijah",19y 184d,7 (4-0-3 57.14%),1 (0.14),←,
Totals,Totals,25y 352d,2520 (1118-13-1389 44.37%),1285 (0.51),,
C,"Scott, Brad",47y 352d,240 (121-0-119 50.42%),,29 (15-0-14 51.72%),
