Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",11,1,11,22,1,,1.0,4.0,,,,,,1.0,,,,,,,,,
18,"Cameron, Leon",19,2,5,24,,,,1.0,,,,,,1.0,,,,,,,,,
6,"Campbell, Tony",11,2,1,12,,,,,,,,,2.0,,,,,,,,,,
20,"Coleman, Glenn",5,4,2,7,,1.0,2.0,,,,,,,,,,,,,,,,
31,"Darcy, Anthony",4,1,5,9,,,,1.0,,,,,1.0,3.0,,,,,,,,,
26,"Del-Re, Danny",7,3,2,9,2,4.0,,1.0,,,,,2.0,,,,,,,,,,
47,"Ellen, Shane",4,1,1,5,,,,,,,,,,,,,,,,,,,
32,"Foster, Peter",9,4,5,14,,,,1.0,,,,,3.0,,,,,,,,,,
29,"Grant, Chris",8,7,2,10,1,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
7,"Hawkins, Doug",4,1,3,7,,2.0,,1.0,,,,,2.0,1.0,,,,,,,,,
10,"Hunter, Mark",22,3,4,26,,,,3.0,,,,,3.0,1.0,,,,,,,,,
4,"Kellett, Nigel",10,5,8,18,,,,1.0,,,,,1.0,,,,,,,,,,
21,"Kolyniuk, Steven",6,3,3,9,,,,1.0,,,,,,,,,,,,,,,
39,"Liberatore, Tony",12,2,6,18,,1.0,,2.0,,,,,5.0,1.0,,,,,,,,,
2,"Reynolds, Keenan",13,8,3,16,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,
5,"Smith, Rohan",9,4,3,12,1,,,,,,,,,,,,,,,,,,
17,"Standfield, Barry",12,6,5,17,,1.0,2.0,,,,,,3.0,2.0,,,,,,,,,
8,"Toohey, Bernard",9,3,6,15,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
14,"West, Scott",8,2,5,13,2,,,,,,,,1.0,,,,,,,,,,
15,"Wynd, Scott",1,9,14,15,,,16.0,2.0,,,,,1.0,3.0,2.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,184,71,94,278,8,14.0,22.0,20.0,,,,,27.0,17.0,2.0,,,,,,,,
Opposition,Opposition,206,79,155,361,15,17.0,15.0,36.0,,,,,17.0,27.0,4.0,,,,,,,,
