Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
35,"Apeness, Michael",23y 133d,9 (5-0-4 55.56%),4 (0.44),←,
1,"Ballantyne, Hayden",30y 329d,162 (91-1-70 56.48%),243 (1.50),←,
41,"Banfield, Bailey",20y 104d,12 (5-0-7 41.67%),3 (0.25),←,
19,"Blakely, Connor",22y 100d,45 (16-0-29 35.56%),2 (0.04),←,
8,"Brayshaw, Andrew",18y 214d,12 (5-0-7 41.67%),3 (0.25),←,
5,"Cerra, Adam",18y 246d,11 (5-0-6 45.45%),6 (0.55),←,
36,"Cox, Brennan",19y 301d,16 (4-0-12 25.00%),12 (0.75),←,
42,"Giro, Stefan",19y 92d,2 (1-0-1 50.00%),1 (0.50),←,
21,"Hamling, Joel",25y 62d,56 (29-0-27 51.79%),,33 (13-0-20 39.39%),
40,"Jones, Scott",23y 21d,2 (1-0-1 50.00%),1 (0.50),←,
22,"Kersten, Shane",25y 87d,60 (37-0-23 61.67%),65 (1.08),23 (9-0-14 39.13%),24 (1.04)
26,"Langdon, Ed",22y 129d,36 (13-0-23 36.11%),20 (0.56),←,
3,"Matera, Brandon",26y 91d,112 (36-1-75 32.59%),133 (1.19),11 (5-0-6 45.45%),9 (0.82)
16,"Mundy, David",32y 325d,284 (148-1-135 52.29%),120 (0.42),←,
27,"Neale, Lachie",25y 17d,125 (62-0-63 49.60%),60 (0.48),←,
43,"Nyhuis, Ryan",21y 277d,7 (3-0-4 42.86%),5 (0.71),←,
25,"Pearce, Alex",23y 1d,33 (14-0-19 42.42%),3 (0.09),←,
38,"Ryan, Luke",22y 124d,23 (7-0-16 30.43%),,←,
11,"Sheridan, Tom",24y 225d,72 (37-0-35 51.39%),26 (0.36),←,
18,"Tucker, Darcy",21y 138d,41 (12-0-29 29.27%),17 (0.41),←,
10,"Walters, Michael",27y 154d,121 (64-1-56 53.31%),213 (1.76),←,
14,"Wilson, Nathan",25y 154d,88 (44-2-42 51.14%),17 (0.19),11 (4-0-7 36.36%),1 (0.09)
Totals,Totals,23y 217d,1329 (639-6-684 48.08%),954 (0.72),,
C,"Lyon, Ross",51y 214d,274 (160-5-109 59.31%),,153 (84-1-68 55.23%),
