Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",23y 109d,36 (14-0-22 38.89%),2 (0.06),←,
26,"Bickley, Mark",30y 234d,188 (91-0-97 48.40%),62 (0.33),←,
24,"Burton, Brett",21y 326d,24 (8-0-16 33.33%),27 (1.13),←,
6,"Byrne, James",21y 337d,3 (0-0-3 0.00%),,←,
42,"Cicolella, Justin",21y 195d,1 (0-0-1 0.00%),1 (1.00),←,
4,"Clarke, Matthew",26y 189d,133 (62-2-69 47.37%),19 (0.14),3 (0-0-3 0.00%),
14,"Connell, Matthew",27y 235d,87 (37-0-50 42.53%),25 (0.29),84 (35-0-49 41.67%),25 (0.30)
9,"Edwards, Tyson",23y 232d,84 (41-0-43 48.81%),47 (0.56),←,
13,"Ellen, Shane",27y 84d,64 (28-0-36 43.75%),16 (0.25),53 (23-0-30 43.40%),15 (0.28)
36,"Goodwin, Simon",23y 90d,53 (29-0-24 54.72%),14 (0.26),←,
34,"Hart, Ben",25y 260d,183 (89-1-93 48.91%),34 (0.19),←,
3,"Jarman, Darren",33y 57d,199 (112-0-87 56.28%),315 (1.58),90 (47-0-43 52.22%),193 (2.14)
5,"Koster, Kym",27y 53d,120 (66-1-53 55.42%),43 (0.36),82 (46-0-36 56.10%),30 (0.37)
31,"Marsh, Ben",23y 260d,12 (6-0-6 50.00%),7 (0.58),←,
16,"McGregor, Ken",19y 56d,12 (3-0-9 25.00%),8 (0.67),←,
23,"McLeod, Andrew",23y 234d,104 (51-0-53 49.04%),104 (1.00),←,
52,"Rehn, Shaun",28y 221d,121 (67-1-53 55.79%),43 (0.36),←,
32,"Ricciuto, Mark",24y 291d,152 (70-1-81 46.38%),92 (0.61),←,
10,"Robran, Matthew",29y 6d,104 (56-0-48 53.85%),100 (0.96),97 (52-0-45 53.61%),95 (0.98)
12,"Shirley, Robert",19y 290d,1 (0-0-1 0.00%),,←,
7,"Smart, Nigel",30y 309d,190 (90-1-99 47.63%),99 (0.52),←,
17,"Welsh, Scott",21y 109d,39 (26-0-13 66.67%),37 (0.95),3 (0-0-3 0.00%),7 (2.33)
Totals,Totals,25y 74d,1910 (946-7-957 49.53%),1095 (0.57),,
C,"Ayres, Gary",39y 179d,119 (65-1-53 55.04%),,3 (0-0-3 0.00%),
