Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",10,4,9,19,,,,2.0,2.0,3.0,,4.0,,1.0,,5.0,14.0,1.0,,7.0,4.0,1.0,100.0
44,"Bock, Nathan",16,10,13,29,,,,3.0,4.0,1.0,1.0,5.0,2.0,1.0,,10.0,20.0,1.0,,4.0,1.0,1.0,100.0
24,"Burton, Brett",14,6,2,16,1,2.0,,1.0,2.0,5.0,2.0,6.0,1.0,,,8.0,7.0,,1.0,1.0,,1.0,81.0
11,"Doughty, Michael",7,6,15,22,,,1.0,,3.0,1.0,4.0,2.0,1.0,,,9.0,13.0,,,1.0,,,90.0
26,"Douglas, Richard",5,4,5,10,2,,,3.0,1.0,1.0,1.0,5.0,,,,2.0,8.0,,1.0,1.0,1.0,,84.0
9,"Edwards, Tyson",20,8,6,26,1,1.0,1.0,6.0,1.0,1.0,2.0,1.0,,1.0,,5.0,21.0,,1.0,,,,82.0
1,"Gill, Nick",4,1,1,5,,,,2.0,,3.0,,1.0,1.0,,,2.0,3.0,,,2.0,,,58.0
36,"Goodwin, Simon",13,2,21,34,,1.0,1.0,1.0,1.0,7.0,5.0,,2.0,,,15.0,21.0,,,,1.0,2.0,88.0
18,"Johncock, Graham",11,4,10,21,1,,,2.0,5.0,1.0,1.0,6.0,,,,4.0,17.0,,,4.0,3.0,,97.0
21,"Knights, Chris",12,7,9,21,,,2.0,7.0,2.0,4.0,1.0,4.0,,1.0,,7.0,14.0,2.0,,1.0,,,82.0
20,"Maric, Ivan",2,2,7,9,1,,17.0,2.0,,1.0,2.0,2.0,,2.0,,5.0,4.0,,1.0,,,1.0,79.0
3,"Massie, Kris",8,8,14,22,1,,,2.0,2.0,4.0,,3.0,2.0,1.0,,4.0,18.0,1.0,1.0,1.0,,,94.0
40,"Porplyzia, Jason",4,3,4,8,1,1.0,,1.0,1.0,1.0,,1.0,,,,6.0,2.0,3.0,2.0,3.0,1.0,,90.0
33,"Reilly, Brent",5,1,3,8,,,,1.0,,2.0,2.0,1.0,,,,3.0,5.0,,,,,,31.0
25,"Rutten, Ben",6,6,7,13,,,,3.0,,,1.0,1.0,,,,4.0,9.0,,,2.0,,,100.0
12,"Shirley, Robert",5,,8,13,,,,5.0,,,5.0,2.0,2.0,1.0,,8.0,6.0,,,,,,75.0
27,"Stevens, Scott",17,9,7,24,,,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,6.0,17.0,1.0,1.0,3.0,1.0,,97.0
15,"Symes, Brad",9,1,12,21,,,1.0,1.0,3.0,2.0,1.0,4.0,2.0,,,6.0,17.0,,,2.0,,,68.0
5,"Thompson, Scott",5,4,17,22,,1.0,,5.0,1.0,2.0,5.0,2.0,1.0,1.0,,8.0,14.0,,,1.0,,,93.0
4,"Tippett, Kurt",1,3,6,7,,,12.0,2.0,,1.0,,4.0,,2.0,,3.0,4.0,,,1.0,,1.0,82.0
7,"van Berlo, Nathan",8,4,10,18,,1.0,,5.0,2.0,1.0,,,,,,1.0,17.0,,,1.0,,,65.0
17,"Vince, Bernie",9,2,10,19,,,,3.0,2.0,2.0,4.0,2.0,1.0,1.0,,4.0,15.0,,,1.0,2.0,,65.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,191,95,196,387,8,8.0,35.0,58.0,34.0,47.0,39.0,57.0,16.0,13.0,,125.0,266.0,9.0,8.0,36.0,14.0,7.0,
Opposition,Opposition,218,116,242,460,18,16.0,42.0,57.0,36.0,52.0,32.0,41.0,13.0,16.0,6.0,119.0,338.0,12.0,25.0,39.0,19.0,13.0,
