Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Atkins, Rory",6,2,6,12,,,,1.0,,2.0,1.0,2.0,,,,4.0,10.0,,,3.0,,,78.0
18,"Betts, Eddie",8,4,4,12,4,2.0,,3.0,,1.0,,2.0,,1.0,,4.0,8.0,,3.0,1.0,,,92.0
16,"Brown, Luke",7,3,2,9,,,,4.0,4.0,,,1.0,1.0,,,1.0,7.0,,,4.0,1.0,,88.0
23,"Cameron, Charlie",5,2,6,11,,2.0,,3.0,,2.0,,1.0,,,,6.0,6.0,,1.0,4.0,,,84.0
44,"Crouch, Matt",10,,15,25,,,,6.0,2.0,1.0,2.0,2.0,1.0,,,13.0,12.0,,,1.0,,,76.0
32,"Dangerfield, Patrick",12,1,13,25,,,1.0,3.0,2.0,3.0,6.0,5.0,1.0,1.0,,14.0,11.0,,1.0,1.0,1.0,,85.0
26,"Douglas, Richard",13,1,11,24,,1.0,,2.0,,7.0,5.0,,,,,11.0,13.0,,,1.0,,,86.0
15,"Hartigan, Kyle",4,,,4,,,,,2.0,,,2.0,,1.0,,1.0,3.0,,,6.0,1.0,,92.0
45,"Henderson, Ricky",11,9,19,30,,,,2.0,4.0,2.0,3.0,3.0,1.0,,,9.0,18.0,2.0,,1.0,,,86.0
24,"Jacobs, Sam",6,2,4,10,,,52.0,1.0,,1.0,1.0,3.0,1.0,1.0,,5.0,5.0,,,,,1.0,87.0
4,"Jenkins, Josh",9,9,4,13,1,1.0,3.0,1.0,1.0,4.0,,4.0,,2.0,,3.0,11.0,2.0,3.0,1.0,1.0,1.0,87.0
39,"Knight, Riley",3,4,4,7,,,,3.0,,3.0,,,,,,2.0,5.0,,,1.0,,1.0,85.0
29,"Laird, Rory",12,7,14,26,,,,1.0,6.0,3.0,1.0,1.0,,1.0,,3.0,23.0,,,1.0,1.0,,91.0
6,"Lever, Jake",4,4,2,6,,,,2.0,1.0,,,3.0,,2.0,,1.0,6.0,,,2.0,1.0,,75.0
27,"Lynch, Tom",14,7,3,17,2,1.0,,1.0,,3.0,,3.0,1.0,1.0,,3.0,14.0,1.0,3.0,,,1.0,95.0
31 ↑,"Lyons, Jarryd",3,,8,11,,,,2.0,,1.0,3.0,2.0,,,,5.0,6.0,,,,,,47.0
9,"Sloane, Rory",11,5,9,20,1,,1.0,7.0,1.0,3.0,3.0,7.0,2.0,1.0,,11.0,7.0,1.0,,4.0,,1.0,81.0
33 ↓,"Smith, Brodie",9,2,,9,1,,,,3.0,2.0,,2.0,1.0,,,3.0,3.0,1.0,,1.0,,,26.0
12,"Talia, Daniel",7,4,3,10,,,,,4.0,,,3.0,,1.0,,3.0,6.0,1.0,,9.0,,,92.0
5,"Thompson, Scott",8,3,15,23,1,,,6.0,1.0,2.0,4.0,5.0,1.0,1.0,,12.0,10.0,,,,,1.0,86.0
7,"van Berlo, Nathan",13,7,6,19,,,,4.0,5.0,3.0,,4.0,2.0,1.0,,6.0,12.0,1.0,,3.0,,,89.0
13,"Walker, Taylor",10,7,3,13,1,1.0,,,,2.0,,2.0,1.0,,,4.0,10.0,1.0,1.0,6.0,,,95.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,185,83,151,336,11,14.0,57.0,52.0,36.0,45.0,29.0,57.0,13.0,14.0,,124.0,206.0,10.0,12.0,50.0,6.0,6.0,
Opposition,Opposition,227,121,194,421,17,17.0,23.0,70.0,30.0,55.0,40.0,43.0,14.0,13.0,6.0,148.0,281.0,20.0,23.0,42.0,7.0,11.0,
