Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
14,"Bartlett, Allan",24y 44d,8 (2-0-6 25.00%),1 (0.13),←,
26,"Bickley, Mark",21y 336d,12 (5-0-7 41.67%),1 (0.08),←,
30,"Fielke, Grantley",29y 110d,31 (11-0-20 35.48%),21 (0.68),15 (7-0-8 46.67%),6 (0.40)
3,"Hart, Darel",27y 184d,12 (6-0-6 50.00%),14 (1.17),←,
35,"Jameson, Rod",21y 6d,12 (6-0-6 50.00%),25 (2.08),←,
2,"Jarman, Andrew",25y 173d,11 (6-0-5 54.55%),4 (0.36),←,
42,"Kelly, Matthew",20y 4d,1 (0-0-1 0.00%),,←,
20,"Klug, John",25y 281d,15 (7-0-8 46.67%),22 (1.47),←,
13,"Lee, Scott",28y 31d,15 (7-0-8 46.67%),1 (0.07),←,
27,"Liptak, Matthew",21y 67d,8 (4-0-4 50.00%),12 (1.50),←,
16,"Marshall, David",31y 6d,15 (7-0-8 46.67%),9 (0.60),←,
18,"Maynard, Rodney",24y 288d,15 (7-0-8 46.67%),5 (0.33),←,
10,"McDermott, Chris",27y 244d,15 (7-0-8 46.67%),4 (0.27),←,
11,"McGuinness, Tony",27y 61d,124 (57-2-65 46.77%),122 (0.98),15 (7-0-8 46.67%),14 (0.93)
23,"McIntyre, Peter",24y 181d,8 (3-0-5 37.50%),9 (1.13),←,
25,"Mickan, Mark",30y 157d,60 (17-0-43 28.33%),27 (0.45),12 (5-0-7 41.67%),1 (0.08)
22,"Murphy, Michael",25y 301d,8 (1-0-7 12.50%),14 (1.75),5 (1-0-4 20.00%),14 (2.80)
7,"Smart, Nigel",22y 46d,15 (7-0-8 46.67%),2 (0.13),←,
49,"Tasker, Sean",23y 18d,2 (0-0-2 0.00%),,←,
50,"Weidemann, Wayne",24y 258d,1 (0-0-1 0.00%),,←,
Totals,Totals,25y 103d,388 (160-2-226 41.24%),293 (0.76),,
C,"Cornes, Graham",43y 97d,15 (7-0-8 46.67%),,←,
