Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Bateman, Chance",28y 54d,137 (66-0-71 48.18%),49 (0.36),←,
14,"Birchall, Grant",21y 198d,82 (46-0-36 56.10%),7 (0.09),←,
30,"Brown, Campbell",25y 351d,140 (66-0-74 47.14%),57 (0.41),←,
39,"Campbell, Robert",27y 73d,116 (61-0-55 52.59%),25 (0.22),←,
23,"Franklin, Lance",22y 196d,101 (51-0-50 50.50%),300 (2.97),←,
27,"Gilham, Stephen",24y 346d,61 (40-0-21 65.57%),2 (0.03),60 (40-0-20 66.67%),2 (0.03)
15,"Hodge, Luke",25y 60d,149 (70-0-79 46.98%),99 (0.66),←,
32,"Kennedy, Josh",21y 55d,11 (4-0-7 36.36%),1 (0.09),←,
3,"Lewis, Jordan",23y 112d,100 (49-0-51 49.00%),35 (0.35),←,
21,"McGlynn, Ben",24y 8d,42 (22-0-20 52.38%),25 (0.60),←,
5,"Mitchell, Sam",26y 306d,153 (74-0-79 48.37%),29 (0.19),←,
35,"Morton, Jarryd",20y 313d,17 (10-0-7 58.82%),5 (0.29),←,
17,"Muston, Beau",22y 166d,6 (2-0-4 33.33%),1 (0.17),←,
7,"Osborne, Michael",27y 16d,114 (52-0-62 45.61%),61 (0.54),←,
34,"Renouf, Brent",21y 103d,21 (12-0-9 57.14%),1 (0.05),←,
33,"Rioli, Cyril",20y 31d,42 (28-0-14 66.67%),43 (1.02),←,
40,"Savage, Shane",18y 221d,1 (0-0-1 0.00%),,←,
25,"Schoenmakers, Ryan",18y 279d,11 (3-0-8 27.27%),,←,
12,"Sewell, Brad",25y 193d,102 (49-0-53 48.04%),16 (0.16),←,
26,"Shiels, Liam",18y 107d,9 (3-0-6 33.33%),1 (0.11),←,
13,"Taylor, Simon",26y 361d,84 (41-0-43 48.81%),16 (0.19),←,
22,"Tuck, Travis",21y 341d,19 (10-0-9 52.63%),1 (0.05),←,
Totals,Totals,23y 110d,1518 (759-0-759 50.00%),774 (0.51),,
C,"Clarkson, Alastair",41y 109d,113 (56-0-57 49.56%),,←,
