Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Birchall, Grant",15,7,7,22,,,,1.0,5.0,2.0,,1.0,,,,3.0,15.0,,,,2.0,1.0,71.0
22,"Breust, Luke",12,6,5,17,4,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,,,6.0,11.0,,3.0,1.0,,,75.0
9,"Burgoyne, Shaun",11,5,7,18,,,,2.0,1.0,3.0,2.0,,1.0,,,6.0,12.0,,,1.0,,1.0,85.0
5,"Burton, Ryan",15,9,11,26,,,,4.0,1.0,2.0,,3.0,2.0,,,12.0,15.0,1.0,,6.0,1.0,,92.0
12,"Frawley, James",9,4,3,12,,,,1.0,2.0,1.0,,4.0,,,,1.0,11.0,,,7.0,,,97.0
6,"Gibson, Josh",5,2,9,14,,,,,5.0,,,3.0,,1.0,,4.0,10.0,1.0,,4.0,,,92.0
19,"Gunston, Jack",14,7,8,22,,1.0,,8.0,1.0,4.0,3.0,2.0,3.0,,,14.0,11.0,1.0,,3.0,,2.0,92.0
31,"Henderson, Ricky",10,4,14,24,,2.0,,4.0,1.0,2.0,2.0,2.0,,,,4.0,18.0,,1.0,,,,80.0
15,"Hodge, Luke",13,1,11,24,,,,5.0,3.0,3.0,2.0,3.0,2.0,,,7.0,20.0,,,2.0,,,84.0
29,"Langford, Will",11,4,17,28,,2.0,,2.0,,4.0,3.0,1.0,2.0,,,12.0,16.0,,1.0,1.0,,,79.0
7,"McEvoy, Ben",2,3,9,11,,,27.0,,,,3.0,,,,,5.0,6.0,1.0,,,,,76.0
42,"Miles, Teia",7,3,8,15,,,,2.0,,2.0,1.0,1.0,,,,3.0,12.0,,,3.0,,,71.0
3,"Mitchell, Tom",10,2,28,38,1,,,7.0,1.0,6.0,7.0,4.0,2.0,1.0,,18.0,19.0,,,1.0,,,80.0
10,"OMeara, Jaeger",6,2,30,36,,,,1.0,2.0,2.0,4.0,9.0,1.0,2.0,,19.0,18.0,,,1.0,,,85.0
28,"Puopolo, Paul",7,1,5,12,3,,,9.0,,,1.0,5.0,1.0,2.0,,7.0,3.0,1.0,,2.0,2.0,1.0,86.0
33,"Rioli, Cyril",9,3,4,13,1,,2.0,4.0,,5.0,1.0,,2.0,,,4.0,9.0,,1.0,1.0,,,79.0
2,"Roughead, Jarryd",7,4,5,12,2,2.0,2.0,4.0,,1.0,1.0,2.0,1.0,1.0,,6.0,6.0,1.0,3.0,3.0,,1.0,91.0
26,"Shiels, Liam",6,,5,11,1,,,9.0,1.0,3.0,2.0,2.0,1.0,1.0,,3.0,6.0,,,2.0,,1.0,69.0
16,"Smith, Isaac",14,4,6,20,,,,2.0,3.0,4.0,2.0,2.0,,,,3.0,16.0,,1.0,2.0,1.0,1.0,68.0
40,"Stewart, Kade",5,2,9,14,,,,4.0,,4.0,1.0,2.0,1.0,1.0,,7.0,7.0,,,1.0,,,76.0
24,"Stratton, Ben",7,5,5,12,,,,4.0,2.0,,,1.0,,,,3.0,9.0,,,7.0,,,94.0
27,"Vickery, Ty",3,3,6,9,1,,9.0,3.0,,1.0,1.0,2.0,1.0,2.0,,3.0,6.0,,,2.0,,,78.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,81,212,410,13,11.0,40.0,77.0,29.0,51.0,37.0,51.0,22.0,11.0,,150.0,256.0,6.0,10.0,50.0,6.0,8.0,
Opposition,Opposition,194,90,174,368,16,17.0,45.0,83.0,36.0,55.0,39.0,50.0,11.0,22.0,6.0,150.0,230.0,22.0,17.0,40.0,2.0,11.0,
