Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
30,"Brand, Kaiden",24y 69d,32 (18-1-13 57.81%),,←,
22,"Breust, Luke",27y 217d,173 (127-1-45 73.70%),329 (1.90),←,
9,"Burgoyne, Shaun",35y 238d,350 (236-2-112 67.71%),280 (0.80),193 (139-2-52 72.54%),109 (0.56)
5,"Burton, Ryan",21y 136d,35 (17-1-17 50.00%),5 (0.14),←,
18,"Ceglar, Jonathon",27y 122d,53 (41-0-12 77.36%),31 (0.58),←,
8,"Duryea, Taylor",27y 53d,113 (80-1-32 71.24%),20 (0.18),←,
19,"Gunston, Jack",26y 243d,161 (109-1-51 68.01%),312 (1.94),147 (104-1-42 71.09%),292 (1.99)
15,"Hardwick, Blake",21y 131d,32 (18-1-13 57.81%),2 (0.06),←,
31,"Henderson, Ricky",29y 278d,119 (59-1-59 50.00%),61 (0.51),29 (13-1-15 46.55%),18 (0.62)
17,"Howe, Daniel",22y 194d,43 (30-1-12 70.93%),8 (0.19),←,
4,"Impey, Jarman",22y 342d,87 (47-0-40 54.02%),42 (0.48),12 (7-0-5 58.33%),8 (0.67)
29,"Langford, Will",25y 348d,70 (45-1-24 65.00%),24 (0.34),←,
7,"McEvoy, Ben",28y 340d,180 (106-3-71 59.72%),73 (0.41),89 (55-1-33 62.36%),46 (0.52)
3,"Mitchell, Tom",25y 16d,99 (59-1-39 60.10%),55 (0.56),34 (17-1-16 51.47%),17 (0.50)
35,"Morrison, Harry",19y 216d,11 (6-0-5 54.55%),2 (0.18),←,
10,"OMeara, Jaeger",24y 113d,61 (26-0-35 42.62%),36 (0.59),17 (8-0-9 47.06%),9 (0.53)
28,"Puopolo, Paul",30y 196d,156 (115-0-41 73.72%),159 (1.02),←,
2,"Roughead, Jarryd",31y 144d,265 (167-2-96 63.40%),547 (2.06),←,
26,"Shiels, Liam",27y 48d,174 (122-1-51 70.40%),62 (0.36),←,
6,"Sicily, James",23y 161d,54 (33-1-20 62.04%),52 (0.96),←,
16,"Smith, Isaac",29y 168d,169 (123-1-45 73.08%),141 (0.83),←,
24,"Stratton, Ben",29y 107d,158 (109-1-48 69.30%),1 (0.01),←,
Totals,Totals,26y 160d,2595 (1693-21-881 65.24%),2242 (0.86),,
C,"Clarkson, Alastair",50y 50d,317 (197-2-118 62.46%),,←,
