Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Amon, Karl",28y 287d,157 (84-0-73 53.50%),67 (0.43),33 (11-0-22 33.33%),12 (0.36)
22,"Breust, Luke",33y 203d,288 (173-2-113 60.42%),532 (1.85),←,
18,"Chol, Mabior",27y 124d,71 (35-1-35 50.00%),92 (1.30),10 (3-0-7 30.00%),14 (1.40)
16,"DAmbrosio, Massimo",20y 362d,27 (14-0-13 51.85%),5 (0.19),11 (5-0-6 45.45%),
12,"Day, Will",22y 362d,60 (20-0-40 33.33%),12 (0.20),←,
35,"Dear, Calsher",18y 302d,5 (4-0-1 80.00%),6 (1.20),←,
8,"Frost, Sam",30y 278d,171 (61-2-108 36.26%),9 (0.05),80 (25-2-53 32.50%),1 (0.01)
33,"Ginnivan, Jack",21y 175d,54 (36-0-18 66.67%),72 (1.33),12 (5-0-7 41.67%),14 (1.17)
19,"Gunston, Jack",32y 229d,250 (152-1-97 61.00%),463 (1.85),219 (136-1-82 62.33%),421 (1.92)
15,"Hardwick, Blake",27y 117d,159 (68-2-89 43.40%),20 (0.13),←,
4,"Impey, Jarman",28y 328d,184 (85-0-99 46.20%),61 (0.33),109 (45-0-64 41.28%),27 (0.25)
9,"Jiath, Changkuoth",24y 354d,48 (15-0-33 31.25%),2 (0.04),←,
31,"Macdonald, Connor",21y 140d,53 (19-0-34 35.85%),31 (0.58),←,
28,"Mackenzie, Cam",20y 132d,26 (10-0-16 38.46%),8 (0.31),←,
40,"Mitchell, Seamus",21y 334d,22 (8-0-14 36.36%),,←,
13,"Moore, Dylan",24y 302d,87 (29-1-57 33.91%),95 (1.09),←,
11,"Nash, Conor",25y 309d,85 (34-1-50 40.59%),17 (0.20),←,
3,"Newcombe, Jai",22y 304d,63 (23-2-38 38.10%),24 (0.38),←,
7,"Reeves, Ned",25y 214d,41 (15-1-25 37.80%),11 (0.27),←,
14,"Scrimshaw, Jack",25y 271d,94 (33-1-60 35.64%),11 (0.12),90 (33-1-56 37.22%),11 (0.12)
6,"Sicily, James",29y 147d,144 (69-1-74 48.26%),62 (0.43),←,
23,"Weddle, Josh",20y 7d,29 (11-0-18 37.93%),7 (0.24),←,
5,"Worpel, James",25y 129d,114 (44-2-68 39.47%),41 (0.36),←,
Totals,Totals,25y 108d,2232 (1042-17-1173 46.68%),1648 (0.74),,
C,"Mitchell, Sam",41y 233d,57 (20-0-37 35.09%),,←,
