Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
25,"Brown, Nathan",23y 281d,6 (3-0-3 50.00%),,←,
32,"Bruce, Cameron",20y 234d,11 (6-0-5 54.55%),13 (1.18),←,
33,"Farmer, Jeff",22y 332d,90 (35-0-55 38.89%),178 (1.98),←,
21,"Febey, Steven",30y 276d,228 (115-0-113 50.44%),33 (0.14),←,
4,"Grgic, Brent",20y 226d,52 (22-0-30 42.31%),27 (0.52),←,
27,"Ingerson, Anthony",30y 221d,134 (53-0-81 39.55%),40 (0.30),97 (37-0-60 38.14%),15 (0.15)
36,"Leoncelli, Andrew",25y 309d,75 (31-0-44 41.33%),25 (0.33),←,
35,"McDonald, Anthony",27y 343d,65 (27-0-38 41.54%),28 (0.43),←,
23,"McDonald, James",23y 229d,52 (25-0-27 48.08%),22 (0.42),←,
9,"Neitz, David",25y 120d,148 (65-0-83 43.92%),221 (1.49),←,
7,"Powell, Stephen",23y 257d,41 (25-1-15 62.20%),31 (0.76),11 (6-0-5 54.55%),10 (0.91)
43,"Rigoni, Guy",25y 299d,56 (28-0-28 50.00%),17 (0.30),←,
24,"Robertson, Russell",21y 179d,43 (21-0-22 48.84%),54 (1.26),←,
5,"Schwarz, David",27y 302d,125 (53-1-71 42.80%),196 (1.57),←,
46,"Simmonds, Troy",21y 313d,16 (6-0-10 37.50%),3 (0.19),←,
42,"Walsh, Peter",23y 302d,29 (11-0-18 37.93%),4 (0.14),←,
31,"Wheatley, Paul",19y 39d,6 (4-0-2 66.67%),3 (0.50),←,
45,"Whelan, Matthew",20y 190d,8 (5-0-3 62.50%),,←,
34,"White, Jeff",23y 92d,86 (39-0-47 45.35%),48 (0.56),54 (26-0-28 48.15%),30 (0.56)
49,"Williams, Luke",20y 144d,4 (1-0-3 25.00%),,←,
22,"Woewodin, Shane",23y 314d,80 (32-0-48 40.00%),31 (0.39),←,
13,"Yze, Adem",22y 243d,105 (42-0-63 40.00%),50 (0.48),←,
Totals,Totals,23y 338d,1460 (649-2-809 44.45%),1024 (0.70),,
C,"Daniher, Neale",39y 96d,58 (28-0-30 48.28%),,←,
