Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
33,"Baker, Oskar",21y 7d,3 (0-0-3 0.00%),2 (0.67),←,
10,"Brayshaw, Angus",23y 143d,69 (33-0-36 47.83%),35 (0.51),←,
31,"Fritsch, Bayley",22y 177d,34 (19-0-15 55.88%),20 (0.59),←,
17,"Frost, Sam",25y 277d,80 (34-0-46 42.50%),8 (0.10),59 (29-0-30 49.15%),6 (0.10)
36,"Garlett, Jeff",29y 302d,184 (92-1-91 50.27%),320 (1.74),77 (35-0-42 45.45%),137 (1.78)
11,"Gawn, Max",27y 153d,110 (45-0-65 40.91%),53 (0.48),←,
19,"Hannan, Mitch",25y 84d,36 (22-0-14 61.11%),45 (1.25),←,
4,"Harmes, James",23y 239d,80 (40-0-40 50.00%),52 (0.65),←,
14,"Hibberd, Michael",29y 149d,132 (67-1-64 51.14%),13 (0.10),48 (27-0-21 56.25%),2 (0.04)
29,"Hunt, Jayden",24y 59d,58 (27-0-31 46.55%),23 (0.40),←,
2,"Jones, Nathan",31y 132d,275 (86-3-186 31.82%),137 (0.50),←,
24,"Kennedy Harris, Jay",24y 72d,35 (13-0-22 37.14%),12 (0.34),←,
28,"McDonald, Oscar",23y 75d,71 (39-0-32 54.93%),,←,
25,"McDonald, Tom",26y 256d,157 (57-0-100 36.31%),92 (0.59),←,
13,"Oliver, Clayton",21y 314d,71 (38-0-33 53.52%),23 (0.32),←,
5,"Petracca, Christian",23y 148d,74 (37-0-37 50.00%),67 (0.91),←,
38,"Smith, Tim",28y 101d,10 (3-0-7 30.00%),7 (0.70),←,
9,"Spargo, Charlie",19y 188d,23 (15-0-8 65.22%),15 (0.65),←,
15,"Stretch, Billy",22y 266d,45 (19-0-26 42.22%),10 (0.22),←,
7,"Viney, Jack",25y 49d,108 (38-0-70 35.19%),29 (0.27),←,
42,"Wagner, Josh",24y 342d,36 (16-0-20 44.44%),2 (0.06),←,
26,"Weideman, Sam",21y 340d,27 (13-0-14 48.15%),22 (0.81),←,
Totals,Totals,24y 292d,1718 (753-5-960 43.83%),987 (0.57),,
C,"Goodwin, Simon",42y 157d,59 (31-0-28 52.54%),,58 (31-0-27 53.45%),
