Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
26,"Bickley, Mark",22y 301d,28 (12-0-16 42.86%),4 (0.14),←,
34,"Hart, Ben",17y 327d,10 (4-0-6 40.00%),3 (0.30),←,
3,"Hart, Darel",28y 149d,27 (13-0-14 48.15%),19 (0.70),←,
29,"Ingerson, Anthony",22y 231d,10 (4-0-6 40.00%),11 (1.10),←,
35,"Jameson, Rod",21y 336d,28 (13-0-15 46.43%),69 (2.46),←,
2,"Jarman, Andrew",26y 138d,26 (12-0-14 46.15%),13 (0.50),←,
13,"Lee, Scott",28y 361d,32 (14-0-18 43.75%),8 (0.25),←,
27,"Liptak, Matthew",22y 31d,22 (11-0-11 50.00%),34 (1.55),←,
16,"Marshall, David",31y 336d,20 (9-0-11 45.00%),13 (0.65),←,
18,"Maynard, Rodney",25y 253d,32 (14-0-18 43.75%),8 (0.25),←,
10,"McDermott, Chris",28y 209d,31 (14-0-17 45.16%),11 (0.35),←,
11,"McGuinness, Tony",28y 25d,138 (63-2-73 46.38%),137 (0.99),29 (13-0-16 44.83%),29 (1.00)
25,"Mickan, Mark",31y 122d,71 (21-0-50 29.58%),29 (0.41),23 (9-0-14 39.13%),3 (0.13)
6,"Modra, Tony",23y 91d,4 (1-0-3 25.00%),11 (2.75),←,
22,"Murphy, Michael",26y 266d,13 (4-0-9 30.77%),25 (1.92),10 (4-0-6 40.00%),25 (2.50)
52,"Rehn, Shaun",20y 288d,15 (6-0-9 40.00%),5 (0.33),←,
40,"Schwerdt, Stephen",24y 3d,7 (3-0-4 42.86%),1 (0.14),←,
7,"Smart, Nigel",23y 10d,25 (10-0-15 40.00%),2 (0.08),←,
4,"Tasker, Sean",23y 348d,14 (5-0-9 35.71%),1 (0.07),←,
33,"Weidemann, Wayne",25y 223d,15 (5-0-10 33.33%),1 (0.07),←,
Totals,Totals,25y 75d,568 (238-2-328 41.90%),405 (0.71),,
C,"Cornes, Graham",44y 61d,32 (14-0-18 43.75%),,←,
