North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",10,3,4,14,2,2.0,,2.0,1.0,1.0,2.0,,,2.0,,,,,,,,,
33,"Allison, Brett",8,2,3,11,1,1.0,,2.0,,4.0,,,1.0,2.0,,,,,,,,,
14,"Anderson, Brady",13,3,2,15,,,,1.0,2.0,4.0,3.0,,4.0,,,,,,,,,,
11,"Archer, Glenn",8,3,2,10,,,,2.0,5.0,,,,2.0,2.0,,,,,,,,,
26,"Bell, Peter",10,4,6,16,1,,,2.0,3.0,1.0,6.0,,,,,,,,,,,,
12,"Blakey, John",11,5,12,23,,,,,8.0,1.0,,,3.0,,,,,,,,,,
16,"Capuano, Mathew",2,,1,3,,,6.0,,,2.0,,1.0,1.0,,,,,,,,,,
18,"Carey, Wayne",18,11,4,22,1,3.0,1.0,1.0,1.0,9.0,,2.0,1.0,1.0,3.0,,,,,,,,
45,"Cochrane, Stuart",2,,3,5,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,
6,"Grant, Shannon",16,3,9,25,2,1.0,,1.0,2.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,,
29,"Harvey, Brent",7,1,,7,,2.0,,,,4.0,1.0,,,,,,,,,,,,
21,"Hewitt, Evan",7,3,3,10,2,,,2.0,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,
4,"Martyn, Mick",7,2,2,9,,,,2.0,5.0,1.0,1.0,,1.0,,,,,,,,,,
5,"McCartney, Jason",4,3,5,9,,,2.0,2.0,3.0,1.0,,1.0,,1.0,,,,,,,,,
31,"McKernan, Corey",10,4,,10,1,1.0,10.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,
20,"Mellington, Anthony",1,,1,2,,1.0,,1.0,,,,,,,,,,,,,,,
28,"Pickett, Byron",6,,3,9,,,,3.0,3.0,,1.0,2.0,3.0,,,,,,,,,,
8,"Scott, Robert",7,1,2,9,,,,4.0,2.0,1.0,2.0,2.0,,2.0,,,,,,,,,
24,"Sholl, Craig",5,3,5,10,3,1.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,
37,"Simpson, Adam",5,3,4,9,1,1.0,,,,3.0,1.0,,,,,,,,,,,,
10,"Stevens, Anthony",20,6,9,29,,,,9.0,1.0,6.0,5.0,2.0,1.0,1.0,,,,,,,,,
30,"Welsh, Scott",5,1,2,7,1,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,61,82,264,15,16.0,21.0,40.0,37.0,50.0,28.0,14.0,19.0,16.0,3.0,,,,,,,,
Opposition,Opposition,181,83,95,276,15,12.0,52.0,37.0,26.0,61.0,33.0,17.0,16.0,19.0,3.0,,,,,,,,
