Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bishop, Matthew",1,1,,1,,,,,1.0,,,,,,,,1.0,,,3.0,2.0,,33.0
20,"Brogan, Dean",7,7,4,11,,,16.0,2.0,1.0,2.0,2.0,,1.0,,,3.0,8.0,,,2.0,1.0,,65.0
7,"Burgoyne, Peter",16,5,6,22,,,,6.0,3.0,4.0,5.0,6.0,,3.0,3.0,9.0,14.0,,,3.0,4.0,,100.0
8,"Burgoyne, Shaun",6,4,4,10,2,,,2.0,,2.0,1.0,,,,,7.0,3.0,4.0,3.0,1.0,,1.0,100.0
9,"Carr, Josh",15,4,9,24,,1.0,1.0,4.0,1.0,5.0,9.0,3.0,2.0,1.0,,15.0,7.0,1.0,1.0,1.0,1.0,1.0,82.0
26,"Cochrane, Stuart",1,,,1,,,,1.0,,,,,,,,,1.0,,,,,,27.0
12,"Cockatoo-Collins, Che",8,2,3,11,,,,1.0,1.0,1.0,1.0,4.0,2.0,2.0,,7.0,3.0,,1.0,1.0,,1.0,55.0
18,"Cornes, Kane",6,4,4,10,,,,2.0,,2.0,,1.0,,1.0,,3.0,7.0,,,1.0,,,100.0
17,"Dew, Stuart",7,3,3,10,2,2.0,,2.0,1.0,1.0,,1.0,1.0,,,4.0,6.0,,1.0,4.0,1.0,1.0,96.0
11,"Hardwick, Damien",6,3,6,12,,,,2.0,4.0,,1.0,1.0,2.0,1.0,,5.0,8.0,,,1.0,,,95.0
29,"Kingsley, Adam",10,7,6,16,1,,,3.0,1.0,1.0,2.0,,1.0,,,6.0,12.0,1.0,1.0,3.0,3.0,,69.0
5,"Lade, Brendon",6,4,4,10,,,8.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,,6.0,5.0,1.0,,,,,49.0
3,"Montgomery, Brett",11,7,5,16,3,,,,1.0,1.0,,2.0,,,,2.0,14.0,,2.0,2.0,1.0,1.0,99.0
14,"Paxman, Stephen",8,6,3,11,,,,3.0,5.0,,,,,,,4.0,7.0,2.0,,2.0,,,100.0
15,"Pickett, Byron",10,3,8,18,3,,,1.0,,7.0,,2.0,,,,7.0,11.0,,,1.0,2.0,2.0,90.0
6,"Schofield, Jarrad",17,8,7,24,1,,,1.0,2.0,6.0,3.0,,,,,7.0,17.0,,,1.0,1.0,1.0,90.0
36,"Stevens, Nick",12,4,7,19,1,1.0,,3.0,,5.0,4.0,,1.0,,,8.0,11.0,2.0,,4.0,2.0,1.0,94.0
28,"Thurstans, Toby",7,4,2,9,,1.0,1.0,1.0,,2.0,,1.0,,,,3.0,8.0,,,1.0,1.0,,57.0
16,"Tredrea, Warren",8,9,6,14,,3.0,1.0,3.0,,3.0,,2.0,,2.0,,8.0,6.0,4.0,2.0,1.0,,,100.0
2,"Wakelin, Darryl",8,3,2,10,,,,1.0,3.0,,1.0,1.0,2.0,,,4.0,6.0,,,5.0,1.0,,100.0
4,"Wanganeen, Gavin",18,7,2,20,1,1.0,,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,10.0,11.0,3.0,,,1.0,,100.0
21,"Wilson, Michael",6,3,5,11,,,,2.0,4.0,,1.0,2.0,1.0,2.0,,6.0,4.0,1.0,,2.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,98,96,290,14,10.0,27.0,44.0,33.0,48.0,34.0,30.0,19.0,14.0,5.0,124.0,170.0,19.0,11.0,39.0,21.0,9.0,
Opposition,Opposition,149,51,127,276,12,6.0,29.0,30.0,27.0,48.0,34.0,37.0,14.0,19.0,1.0,113.0,162.0,8.0,6.0,37.0,15.0,5.0,
