Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",11,7,4,15,1,,1.0,1.0,2.0,,,,,,,6.0,8.0,2.0,2.0,7.0,,,75.0
35,"Biglands, Rhett",7,4,5,12,,,9.0,5.0,,3.0,1.0,8.0,,2.0,,7.0,4.0,1.0,,1.0,,,66.0
44,"Bock, Nathan",10,2,2,12,,1.0,,8.0,1.0,2.0,,2.0,1.0,,,4.0,8.0,1.0,,6.0,3.0,,100.0
10,"Bode, Matthew",9,4,6,15,4,2.0,,4.0,,1.0,2.0,3.0,,,,8.0,7.0,,2.0,3.0,,1.0,86.0
4,"Clarke, Matthew",5,4,8,13,1,,16.0,4.0,,4.0,5.0,5.0,1.0,3.0,,6.0,7.0,1.0,1.0,5.0,,,76.0
11,"Doughty, Michael",14,7,8,22,,,3.0,2.0,,5.0,,2.0,,1.0,,2.0,19.0,,2.0,2.0,,2.0,85.0
26,"Douglas, Richard",5,2,5,10,,1.0,,4.0,2.0,,,1.0,2.0,1.0,,5.0,5.0,,,1.0,,,47.0
9,"Edwards, Tyson",20,8,11,31,1,,,5.0,3.0,1.0,6.0,5.0,,2.0,1.0,11.0,20.0,,1.0,1.0,7.0,,88.0
36,"Goodwin, Simon",14,2,8,22,1,,,7.0,1.0,5.0,1.0,4.0,,2.0,,6.0,16.0,1.0,1.0,2.0,,1.0,92.0
34,"Hart, Ben",5,3,1,6,,,,,4.0,,,3.0,,,,,4.0,,,2.0,,,47.0
37,"Hentschel, Trent",10,4,1,11,,2.0,,,,4.0,1.0,2.0,1.0,1.0,,6.0,5.0,,,2.0,,1.0,66.0
18,"Johncock, Graham",15,8,1,16,,,,2.0,10.0,2.0,,3.0,1.0,1.0,,3.0,14.0,1.0,,2.0,2.0,,100.0
21,"Knights, Chris",4,2,5,9,,,,1.0,,2.0,1.0,1.0,,,,2.0,7.0,,,1.0,,,33.0
39,"Mattner, Martin",6,6,7,13,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,11.0,,,1.0,2.0,,96.0
23,"McLeod, Andrew",15,5,7,22,,1.0,,6.0,2.0,5.0,3.0,2.0,,1.0,,7.0,14.0,,,1.0,3.0,,93.0
22,"Perrie, Ian",10,13,9,19,,2.0,,,,2.0,,1.0,,,,2.0,17.0,,6.0,4.0,1.0,3.0,97.0
33,"Reilly, Brent",12,5,3,15,,,,4.0,1.0,2.0,4.0,,1.0,,,8.0,8.0,,,3.0,,,78.0
25,"Rutten, Ben",7,4,5,12,,,,2.0,,1.0,,,,,,3.0,9.0,,,5.0,,1.0,100.0
12,"Shirley, Robert",5,5,15,20,,1.0,,5.0,,2.0,6.0,2.0,1.0,1.0,,8.0,12.0,,,2.0,,,93.0
5,"Thompson, Scott",8,2,8,16,,1.0,,3.0,1.0,3.0,3.0,2.0,,1.0,,6.0,10.0,,,,,,87.0
7,"van Berlo, Nathan",9,6,8,17,2,,,2.0,,6.0,1.0,1.0,1.0,1.0,,5.0,13.0,1.0,1.0,2.0,,,94.0
17,"Welsh, Scott",6,4,2,8,1,1.0,,2.0,,,,,,,,2.0,6.0,1.0,3.0,1.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,207,107,129,336,11,15.0,29.0,70.0,28.0,51.0,35.0,48.0,10.0,18.0,1.0,110.0,224.0,9.0,19.0,54.0,18.0,9.0,
Opposition,Opposition,187,87,116,303,14,11.0,29.0,49.0,44.0,40.0,30.0,32.0,18.0,10.0,5.0,102.0,196.0,9.0,15.0,41.0,19.0,6.0,
