Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
44,"Bock, Nathan",27y 42d,104 (57-0-47 54.81%),57 (0.55),←,
24,"Burton, Brett",31y 362d,176 (92-0-84 52.27%),264 (1.50),←,
8,"Cook, Myke",20y 204d,9 (2-0-7 22.22%),1 (0.11),←,
16,"Davis, Phil",19y 244d,3 (0-0-3 0.00%),,←,
11,"Doughty, Michael",30y 269d,172 (102-0-70 59.30%),42 (0.24),←,
26,"Douglas, Richard",23y 84d,62 (32-0-30 51.61%),42 (0.68),←,
9,"Edwards, Tyson",33y 268d,317 (172-0-145 54.26%),190 (0.60),←,
36,"Goodwin, Simon",33y 126d,265 (148-0-117 55.85%),160 (0.60),←,
48,"Jaensch, Matthew",20y 225d,1 (0-0-1 0.00%),,←,
18,"Johncock, Graham",27y 192d,172 (96-0-76 55.81%),91 (0.53),←,
20,"Maric, Ivan",24y 117d,55 (31-0-24 56.36%),22 (0.40),←,
23,"McLeod, Andrew",33y 270d,334 (181-0-153 54.19%),269 (0.81),←,
33,"Petrenko, Jared",20y 130d,15 (4-0-11 26.67%),6 (0.40),←,
40,"Porplyzia, Jason",25y 155d,73 (43-0-30 58.90%),119 (1.63),←,
3,"Reilly, Brent",26y 170d,119 (66-0-53 55.46%),42 (0.35),←,
25,"Rutten, Ben",26y 338d,132 (79-0-53 59.85%),6 (0.05),←,
46,"Schmidt, Chris",21y 42d,6 (0-1-5 8.33%),,4 (0-0-4 0.00%),
27,"Stevens, Scott",28y 106d,126 (66-1-59 52.78%),83 (0.66),101 (56-0-45 55.45%),66 (0.65)
5,"Thompson, Scott",27y 48d,161 (91-0-70 56.52%),113 (0.70),122 (73-0-49 59.84%),96 (0.79)
4,"Tippett, Kurt",22y 358d,49 (25-0-24 51.02%),79 (1.61),←,
7,"van Berlo, Nathan",23y 329d,100 (60-0-40 60.00%),26 (0.26),←,
17,"Vince, Bernie",24y 211d,61 (35-0-26 57.38%),32 (0.52),←,
Totals,Totals,26y 29d,2512 (1382-2-1128 55.02%),1644 (0.65),,
C,"Craig, Neil",54y 110d,134 (79-0-55 58.96%),,←,
