Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41 ↓,"Ah Chee, Brendon",3,1,2,5,,,,1.0,,1.0,2.0,2.0,1.0,1.0,,3.0,2.0,,,2.0,,,44.0
1,"Boak, Travis",12,5,20,32,2,,,7.0,2.0,6.0,8.0,4.0,,1.0,2.0,11.0,21.0,,,1.0,,2.0,82.0
5,"Broadbent, Matthew",16,5,5,21,,,,2.0,3.0,5.0,,3.0,,1.0,,3.0,17.0,1.0,,1.0,2.0,1.0,83.0
17,"Clurey, Tom",7,5,4,11,,,,,1.0,,,,1.0,,,1.0,10.0,,,6.0,,,91.0
7,"Ebert, Brad",12,9,11,23,,1.0,,5.0,1.0,6.0,3.0,6.0,,3.0,,8.0,15.0,3.0,,2.0,,1.0,86.0
9,"Gray, Robbie",15,4,8,23,3,,,2.0,2.0,4.0,6.0,4.0,2.0,,,8.0,15.0,,2.0,2.0,,3.0,89.0
8,"Hartlett, Hamish",10,6,15,25,,,,7.0,2.0,2.0,,,2.0,,,10.0,15.0,1.0,,2.0,2.0,,79.0
36,"Hombsch, Jack",4,3,9,13,,,,7.0,1.0,1.0,,1.0,2.0,1.0,,6.0,7.0,,,2.0,,,96.0
24,"Impey, Jarman",6,4,2,8,,1.0,,7.0,,1.0,1.0,3.0,,2.0,,2.0,6.0,,1.0,1.0,1.0,,76.0
48,"Krakouer, Nathan",13,1,1,14,,,,1.0,3.0,,2.0,2.0,,,,4.0,10.0,,,2.0,,,89.0
23,"Lobbe, Matthew",4,3,5,9,2,,23.0,6.0,,,1.0,1.0,1.0,1.0,,4.0,4.0,2.0,1.0,2.0,,,95.0
6,"Monfries, Angus",14,6,3,17,1,2.0,,4.0,3.0,4.0,1.0,,2.0,,,4.0,13.0,,,,2.0,,84.0
3,"Neade, Jake",5,2,5,10,,,,5.0,1.0,2.0,1.0,3.0,,2.0,,5.0,5.0,,,,4.0,,79.0
13,"OShea, Cameron",9,4,4,13,,,,4.0,4.0,2.0,,2.0,,,,3.0,10.0,,,2.0,,,73.0
4,"Ryder, Paddy",9,5,6,15,3,2.0,17.0,,,1.0,3.0,3.0,3.0,1.0,,8.0,5.0,2.0,4.0,2.0,,1.0,94.0
28,"Schulz, Jay",4,3,5,9,3,,,1.0,,,1.0,2.0,1.0,1.0,,3.0,6.0,1.0,1.0,1.0,,,98.0
14,"Stewart, Paul",10,6,3,13,,,,,,2.0,,,,,,1.0,12.0,,,,,1.0,75.0
12,"Trengove, Jackson",4,3,6,10,,,,,1.0,,,2.0,,1.0,,3.0,6.0,,,2.0,,,93.0
39,"Westhoff, Justin",8,5,5,13,,2.0,,6.0,2.0,4.0,1.0,1.0,2.0,,,6.0,7.0,1.0,1.0,4.0,,,91.0
16,"Wines, Ollie",11,5,8,19,,,3.0,2.0,1.0,5.0,8.0,3.0,1.0,1.0,,10.0,9.0,,,2.0,,,72.0
20,"Wingard, Chad",13,4,10,23,3,1.0,,6.0,,5.0,,3.0,1.0,1.0,,10.0,12.0,1.0,2.0,,1.0,1.0,95.0
40 ↑,"Young, Aaron",5,3,4,9,,,,4.0,1.0,1.0,1.0,2.0,,1.0,,4.0,5.0,1.0,,,,2.0,36.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,92,141,335,17,11.0,43.0,77.0,28.0,52.0,39.0,47.0,19.0,18.0,2.0,117.0,212.0,13.0,12.0,36.0,12.0,12.0,
Opposition,Opposition,199,71,136,335,18,8.0,57.0,60.0,34.0,50.0,51.0,61.0,18.0,19.0,4.0,145.0,190.0,8.0,13.0,37.0,10.0,14.0,
