Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
45,"Bond, Chris",24y 171d,32 (10-0-22 31.25%),11 (0.34),10 (2-0-8 20.00%),3 (0.30)
22,"Bower, Nathan",21y 38d,16 (4-0-12 25.00%),9 (0.56),←,
21,"Bulluss, Paul",23y 174d,14 (4-0-10 28.57%),5 (0.36),←,
9,"Campbell, Wayne",20y 296d,47 (14-0-33 29.79%),31 (0.66),←,
44,"Daffy, Nick",20y 66d,8 (2-0-6 25.00%),,←,
37,"Esler, Ty",21y 309d,7 (1-0-6 14.29%),,←,
30,"Free, Tony",24y 19d,103 (31-0-72 30.10%),32 (0.31),←,
34,"Hogg, Jeff",26y 274d,138 (41-0-97 29.71%),296 (2.14),←,
31,"Howat, John",23y 1d,33 (14-0-19 42.42%),10 (0.30),13 (4-0-9 30.77%),
48,"Kellaway, Duncan",20y 149d,9 (3-0-6 33.33%),,←,
33,"Knights, Matthew",22y 284d,103 (30-0-73 29.13%),72 (0.70),←,
4,"Lambert, Craig",24y 284d,117 (33-0-84 28.21%),53 (0.45),←,
26,"Leys, Brian",25y 159d,97 (31-0-66 31.96%),17 (0.18),←,
43,"Livingstone, Tim",25y 298d,3 (0-0-3 0.00%),,←,
27,"Maxfield, Stuart",21y 98d,42 (9-0-33 21.43%),26 (0.62),←,
28,"McQueen, Mark",23y 188d,31 (7-0-24 22.58%),12 (0.39),←,
29,"Menegola, Todd",25y 203d,18 (4-0-14 22.22%),13 (0.72),←,
12,"Richardson, Matthew",18y 119d,9 (3-0-6 33.33%),14 (1.56),←,
46,"Thiessen, James",19y 156d,1 (0-0-1 0.00%),,←,
41,"Turner, Scott",23y 46d,49 (13-0-36 26.53%),18 (0.37),←,
Totals,Totals,22y 294d,877 (254-0-623 28.96%),619 (0.71),,
C,"Northey, John",50y 17d,203 (100-1-102 49.51%),,14 (4-0-10 28.57%),
