Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",6,5,6,12,,,,3.0,4.0,,,3.0,,1.0,,3.0,7.0,,,2.0,1.0,,100.0
35,"Biglands, Rhett",6,3,2,8,,,9.0,4.0,,4.0,2.0,2.0,3.0,1.0,,5.0,4.0,1.0,,1.0,,1.0,56.0
44,"Bock, Nathan",10,4,5,15,,,,3.0,,5.0,,2.0,,2.0,,,15.0,,,2.0,4.0,2.0,100.0
24,"Burton, Brett",12,5,8,20,,,,2.0,,8.0,1.0,7.0,,4.0,,3.0,17.0,,,5.0,1.0,,84.0
11,"Doughty, Michael",2,1,4,6,,,,2.0,,,,1.0,,1.0,,2.0,4.0,,,1.0,,,37.0
9,"Edwards, Tyson",7,3,12,19,,,,2.0,1.0,3.0,,2.0,,,,3.0,15.0,,,1.0,4.0,2.0,85.0
36,"Goodwin, Simon",6,1,11,17,,,,5.0,1.0,,4.0,,2.0,,,7.0,10.0,,,3.0,,,89.0
34,"Hart, Ben",10,8,4,14,,,,2.0,2.0,3.0,,2.0,1.0,2.0,,3.0,11.0,,,4.0,3.0,,85.0
37,"Hentschel, Trent",6,5,7,13,2,,,5.0,1.0,1.0,,3.0,,2.0,,3.0,10.0,1.0,2.0,,1.0,,79.0
13,"Hudson, Ben",4,2,5,9,,,14.0,,,2.0,4.0,2.0,1.0,,,6.0,3.0,,,,,,63.0
39,"Mattner, Martin",8,2,7,15,1,,,4.0,3.0,3.0,2.0,2.0,2.0,1.0,,6.0,9.0,,1.0,2.0,1.0,1.0,100.0
16,"McGregor, Ken",3,4,13,16,1,,,3.0,1.0,2.0,,1.0,,,,6.0,10.0,1.0,1.0,3.0,,2.0,100.0
23,"McLeod, Andrew",8,4,7,15,,,,,4.0,1.0,2.0,1.0,,,,3.0,11.0,,,1.0,3.0,1.0,100.0
22,"Perrie, Ian",13,6,,13,5,3.0,1.0,1.0,,3.0,1.0,2.0,2.0,2.0,2.0,7.0,6.0,3.0,5.0,,,,81.0
33,"Reilly, Brent",7,4,3,10,,,,2.0,1.0,3.0,,2.0,,1.0,,,10.0,,,,,1.0,38.0
32,"Ricciuto, Mark",13,3,9,22,1,1.0,,2.0,2.0,5.0,6.0,2.0,,,,7.0,14.0,,,3.0,,2.0,92.0
25,"Rutten, Ben",6,2,5,11,,,,1.0,2.0,1.0,,,1.0,,,5.0,5.0,1.0,,5.0,1.0,,100.0
12,"Shirley, Robert",,3,14,14,,,,6.0,,,2.0,1.0,1.0,1.0,,6.0,9.0,,,1.0,,,77.0
14,"Skipworth, Hayden",3,1,4,7,1,1.0,,4.0,,1.0,1.0,1.0,1.0,,,3.0,4.0,,,1.0,3.0,,46.0
5,"Thompson, Scott",16,7,11,27,1,,,7.0,1.0,6.0,6.0,4.0,,2.0,1.0,11.0,17.0,,1.0,3.0,1.0,,90.0
15,"Torney, Jason",9,4,4,13,,2.0,,1.0,,4.0,1.0,,,,,1.0,12.0,,1.0,3.0,,1.0,100.0
17,"Welsh, Scott",10,9,,10,8,2.0,,2.0,,,,,1.0,,3.0,2.0,8.0,1.0,9.0,1.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,165,86,141,306,20,12.0,24.0,61.0,23.0,55.0,32.0,40.0,15.0,20.0,6.0,92.0,211.0,8.0,20.0,42.0,23.0,13.0,
Opposition,Opposition,145,81,124,269,9,8.0,30.0,46.0,33.0,34.0,23.0,38.0,21.0,15.0,,89.0,181.0,11.0,14.0,30.0,9.0,6.0,
