Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Atkins, Rory",22y 292d,38 (30-0-8 78.95%),22 (0.58),←,
18,"Betts, Eddie",30y 155d,259 (123-3-133 48.07%),499 (1.93),75 (48-0-27 64.00%),209 (2.79)
16,"Brown, Luke",24y 220d,97 (58-0-39 59.79%),10 (0.10),←,
23,"Cameron, Charlie",22y 299d,55 (37-0-18 67.27%),66 (1.20),←,
2,"Crouch, Brad",23y 106d,43 (24-0-19 55.81%),13 (0.30),←,
44,"Crouch, Matt",22y 9d,53 (37-0-16 69.81%),12 (0.23),←,
26,"Douglas, Richard",30y 83d,201 (111-0-90 55.22%),137 (0.68),←,
17,"Hampton, Curtly",24y 51d,57 (14-0-43 24.56%),12 (0.21),6 (6-0-0 100.00%),2 (0.33)
15,"Hartigan, Kyle",25y 174d,57 (41-0-16 71.93%),1 (0.02),←,
24,"Jacobs, Sam",29y 20d,155 (87-0-68 56.13%),38 (0.25),138 (80-0-58 57.97%),35 (0.25)
4,"Jenkins, Josh",28y 81d,96 (58-0-38 60.42%),187 (1.95),←,
8,"Kelly, Jake",22y 99d,15 (10-0-5 66.67%),,←,
29,"Laird, Rory",23y 122d,82 (51-0-31 62.20%),7 (0.09),←,
6,"Lever, Jake",21y 56d,40 (28-0-12 70.00%),2 (0.05),←,
27,"Lynch, Tom",26y 227d,89 (58-0-31 65.17%),136 (1.53),83 (54-0-29 65.06%),132 (1.59)
14,"Mackay, David",28y 279d,169 (103-0-66 60.95%),51 (0.30),←,
30,"Milera, Wayne",19y 228d,14 (12-0-2 85.71%),7 (0.50),←,
22,"Otten, Andy",27y 350d,85 (47-0-38 55.29%),26 (0.31),←,
9,"Sloane, Rory",27y 44d,147 (87-0-60 59.18%),94 (0.64),←,
33,"Smith, Brodie",25y 106d,126 (78-0-48 61.90%),39 (0.31),←,
12,"Talia, Daniel",25y 210d,128 (78-0-50 60.94%),6 (0.05),←,
13,"Walker, Taylor",27y 5d,135 (78-0-57 57.78%),321 (2.38),←,
Totals,Totals,25y 130d,2141 (1250-3-888 58.38%),1686 (0.79),,
C,"Pyke, Don",48y 146d,30 (23-0-7 76.67%),,←,
