Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Atkins, Rory",13,5,4,17,,,,3.0,2.0,2.0,1.0,2.0,,1.0,,3.0,15.0,,,1.0,1.0,,88.0
18,"Betts, Eddie",6,2,14,20,,,,4.0,,3.0,3.0,5.0,1.0,1.0,,9.0,9.0,,2.0,2.0,,2.0,84.0
16,"Brown, Luke",17,5,6,23,,,,3.0,4.0,3.0,,2.0,,,,6.0,16.0,,,1.0,,1.0,91.0
5,"Crouch, Matt",6,1,7,13,,,,,,1.0,1.0,2.0,1.0,1.0,,9.0,5.0,1.0,,1.0,,,23.0
39,"Doedee, Tom",10,6,15,25,,,,,3.0,3.0,,2.0,3.0,1.0,,14.0,11.0,1.0,,4.0,,,89.0
28,"Ellis-Yolmen, Cam",10,8,18,28,1,,,7.0,,1.0,3.0,5.0,,1.0,,13.0,14.0,,1.0,,,,79.0
32,"Fogarty, Darcy",5,5,2,7,2,,,3.0,,3.0,,3.0,,2.0,,3.0,4.0,1.0,2.0,2.0,,,73.0
6,"Gibbs, Bryce",20,3,8,28,1,2.0,,4.0,3.0,7.0,8.0,3.0,4.0,,,20.0,9.0,2.0,,,,1.0,83.0
1,"Greenwood, Hugh",11,1,15,26,1,1.0,,2.0,,,8.0,1.0,,,,19.0,8.0,,,2.0,,,76.0
15,"Hartigan, Kyle",10,8,10,20,,,,1.0,3.0,3.0,,3.0,2.0,1.0,,4.0,16.0,,,7.0,,,95.0
24,"Jacobs, Sam",13,6,7,20,,,40.0,2.0,,5.0,3.0,,1.0,,,7.0,13.0,1.0,,2.0,,1.0,92.0
4,"Jenkins, Josh",12,6,4,16,5,2.0,8.0,2.0,,1.0,,1.0,4.0,,,8.0,8.0,3.0,3.0,3.0,,,96.0
8,"Kelly, Jake",16,6,12,28,,,,1.0,5.0,,,2.0,3.0,1.0,,8.0,18.0,,,2.0,,,93.0
29,"Laird, Rory",29,9,13,42,,,,,8.0,7.0,3.0,9.0,1.0,,3.0,8.0,32.0,,,2.0,,1.0,89.0
14,"Mackay, David",7,3,6,13,,,,1.0,2.0,,1.0,3.0,,1.0,,2.0,11.0,,,2.0,,,61.0
41,"McGovern, Mitch",9,5,3,12,,,,,,5.0,,3.0,,1.0,,3.0,8.0,,,1.0,,2.0,91.0
30,"Milera, Wayne",13,6,6,19,,,,2.0,2.0,4.0,3.0,3.0,3.0,,,8.0,11.0,,,1.0,,3.0,85.0
44,"Murphy, Lachlan",8,2,2,10,2,2.0,,3.0,2.0,4.0,1.0,,1.0,,,6.0,6.0,,,,1.0,1.0,87.0
11,"Seedsman, Paul",15,2,13,28,,2.0,,3.0,,4.0,2.0,2.0,1.0,,,11.0,18.0,,,1.0,1.0,1.0,88.0
9,"Sloane, Rory",13,4,12,25,2,,,7.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,15.0,13.0,1.0,,3.0,,,74.0
12,"Talia, Daniel",9,8,9,18,,,,,,2.0,,1.0,,1.0,,10.0,7.0,3.0,,5.0,,,81.0
13,"Walker, Taylor",9,5,2,11,4,,,,,4.0,,5.0,,1.0,,6.0,5.0,3.0,2.0,2.0,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,261,106,188,449,18,10.0,48.0,48.0,35.0,64.0,40.0,60.0,28.0,14.0,5.0,192.0,257.0,16.0,10.0,44.0,3.0,13.0,
Opposition,Opposition,183,52,126,309,12,10.0,26.0,71.0,43.0,49.0,37.0,68.0,14.0,28.0,1.0,144.0,155.0,12.0,4.0,55.0,2.0,7.0,
