Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
29,"Alger, Jasper",18y 194d,2 (0-0-2 0.00%),2 (1.00),←,
21,"Balta, Noah",25y 249d,111 (54-2-55 49.55%),37 (0.33),←,
41,"Banks, Sam",22y 88d,35 (7-0-28 20.00%),5 (0.14),←,
46,"Blight, Jacob",23y 197d,9 (1-0-8 11.11%),3 (0.33),←,
35,"Broad, Nathan",32y 75d,163 (90-3-70 56.13%),4 (0.02),←,
30,"Brown, Tom",21y 334d,34 (5-0-29 14.71%),8 (0.24),←,
44,"Campbell, Seth",20y 182d,36 (5-0-31 13.89%),31 (0.86),←,
26,"Faull, Jonty",19y 148d,11 (2-0-9 18.18%),4 (0.36),←,
48,"Green, Steely",21y 171d,21 (3-0-18 14.29%),13 (0.62),←,
2,"Hopper, Jacob",28y 143d,157 (73-3-81 47.45%),55 (0.35),43 (10-1-32 24.42%),13 (0.30)
42,"Lefau, Mykelti",27y 7d,11 (1-0-10 9.09%),14 (1.27),←,
19,"Lynch, Tom",32y 241d,233 (94-4-135 41.20%),481 (2.06),102 (57-3-42 57.35%),227 (2.23)
7,"Mansell, Rhyan",25y 25d,65 (16-1-48 25.38%),39 (0.60),←,
33,"McIntosh, Kamdyn",31y 87d,205 (110-3-92 54.39%),60 (0.29),←,
12,"Miller, Ben",25y 302d,61 (17-3-41 30.33%),9 (0.15),←,
25,"Nankervis, Toby",30y 321d,171 (93-2-76 54.97%),43 (0.25),159 (86-2-71 54.72%),40 (0.25)
3,"Prestia, Dion",32y 260d,229 (104-3-122 46.07%),75 (0.33),134 (78-3-53 59.33%),45 (0.34)
13,"Ralphsmith, Hugo",23y 232d,61 (17-1-43 28.69%),21 (0.34),←,
5,"Ross, Jack",24y 299d,85 (37-2-46 44.71%),19 (0.22),←,
40,"Sonsie, Tyler",22y 153d,32 (7-1-24 23.44%),9 (0.28),←,
14,"Taranto, Tim",27y 152d,167 (74-3-90 45.21%),83 (0.50),53 (15-1-37 29.25%),35 (0.66)
31,"Trainor, Luke",19y 80d,15 (3-0-12 20.00%),1 (0.07),←,
1,"Vlastuin, Nick",31y 71d,248 (134-4-110 54.84%),29 (0.12),←,
Totals,Totals,25y 206d,2162 (947-35-1180 43.80%),1045 (0.48),,
C,"Yze, Adem",47y 281d,39 (6-0-33 15.38%),,38 (5-0-33 13.16%),
