Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
22,"Blakey, Nick",21y 28d,39 (15-0-24 38.46%),28 (0.72),←,
16,"Campbell, Braeden",19y 51d,2 (2-0-0 100.00%),,←,
7,"Cunningham, Harry",27y 111d,132 (78-0-54 59.09%),48 (0.36),←,
34,"Dawson, Jordan",23y 352d,43 (17-0-26 39.53%),25 (0.58),←,
13,"Florent, Oliver",22y 248d,72 (33-0-39 45.83%),23 (0.32),←,
23,"Franklin, Lance",34y 56d,301 (190-1-110 63.29%),947 (3.15),119 (81-0-38 68.07%),367 (3.08)
21,"Gulden, Errol",18y 252d,2 (2-0-0 100.00%),4 (2.00),←,
5,"Heeney, Isaac",24y 326d,110 (68-0-42 61.82%),118 (1.07),←,
29,"Hewett, George",25y 88d,101 (59-0-42 58.42%),32 (0.32),←,
31,"Hickey, Tom",30y 21d,104 (37-2-65 36.54%),34 (0.33),2 (2-0-0 100.00%),2 (1.00)
12,"Kennedy, Josh",32y 280d,260 (157-2-101 60.77%),151 (0.58),247 (152-2-93 61.94%),147 (0.60)
19,"Ling, Matt",21y 340d,4 (2-0-2 50.00%),,←,
44,"Lloyd, Jake",27y 188d,156 (95-0-61 60.90%),30 (0.19),←,
30,"McCartin, Tom",21y 87d,50 (23-0-27 46.00%),28 (0.56),←,
6,"McDonald, Logan",18y 357d,2 (2-0-0 100.00%),5 (2.50),←,
27,"McInerney, Justin",20y 221d,11 (3-0-8 27.27%),6 (0.55),←,
14,"Mills, Callum",23y 359d,94 (50-0-44 53.19%),5 (0.05),←,
11,"Papley, Tom",24y 257d,101 (57-0-44 56.44%),148 (1.47),←,
26,"Parker, Luke",28y 153d,214 (131-1-82 61.45%),164 (0.77),←,
24,"Rampe, Dane",30y 298d,172 (109-1-62 63.66%),6 (0.03),←,
20,"Reid, Sam",29y 90d,155 (97-2-56 63.23%),162 (1.05),←,
1,"Warner, Chad",19y 312d,4 (2-0-2 50.00%),2 (0.50),←,
45,"Wicks, Sam",21y 194d,9 (4-0-5 44.44%),6 (0.67),←,
Totals,Totals,24y 267d,2138 (1233-9-896 57.67%),1972 (0.92),,
C,"Longmire, John",50y 86d,237 (146-2-89 62.03%),,←,
