Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",5,3,,5,,,,,4.0,,,2.0,,1.0,,,5.0,,,,,,
24,"Burton, Brett",8,4,,8,3,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,5.0,2.0,3.0,,,,
44,"Caven, Peter",7,3,4,11,,,,3.0,3.0,,,1.0,,1.0,,5.0,5.0,,,,1.0,,
14,"Connell, Matthew",18,5,2,20,,,,1.0,3.0,5.0,5.0,1.0,1.0,1.0,,8.0,13.0,1.0,,2.0,1.0,,
9,"Edwards, Tyson",6,3,7,13,1,,,2.0,,2.0,,2.0,2.0,,,4.0,8.0,,,,,,
36,"Goodwin, Simon",9,2,5,14,,,,1.0,1.0,3.0,,2.0,,1.0,,5.0,9.0,1.0,,,,,
34,"Hart, Ben",6,1,2,8,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,4.0,,,1.0,,,
1,"Herbert, Lucas",2,,2,4,,,15.0,,,,2.0,,2.0,2.0,,3.0,1.0,,,,,,
11,"James, Brett",7,3,7,14,,,,1.0,2.0,,3.0,1.0,1.0,,,7.0,7.0,1.0,1.0,1.0,,,
35,"Jameson, Rod",3,1,2,5,1,,,,,,,,,1.0,,2.0,3.0,,1.0,,,,
3,"Jarman, Darren",6,1,3,9,,,,1.0,2.0,1.0,3.0,1.0,,,,5.0,4.0,,,,1.0,,
28,"Johnson, Kane",10,4,9,19,1,,,3.0,1.0,4.0,,3.0,2.0,,,6.0,13.0,1.0,1.0,1.0,2.0,,
5,"Koster, Kym",2,1,5,7,,,,1.0,,,1.0,,,,,3.0,4.0,,,1.0,1.0,,
23,"McLeod, Andrew",16,4,12,28,,,,1.0,2.0,2.0,2.0,,,2.0,,17.0,11.0,,,1.0,1.0,,
22,"Perrie, Ian",5,2,6,11,,,,2.0,,3.0,4.0,1.0,1.0,2.0,,2.0,9.0,1.0,,1.0,,,
15,"Pittman, David",8,5,5,13,2,,18.0,,1.0,2.0,4.0,,1.0,1.0,,5.0,6.0,1.0,2.0,1.0,,,
32,"Ricciuto, Mark",7,4,12,19,,,1.0,,,4.0,4.0,1.0,1.0,,,4.0,14.0,,,,,,
10,"Robran, Matthew",9,3,1,10,1,,6.0,,,4.0,3.0,,1.0,1.0,,4.0,5.0,,,,,,
7,"Smart, Nigel",10,5,4,14,,,,5.0,5.0,1.0,,1.0,2.0,2.0,,4.0,9.0,1.0,,3.0,1.0,,
20,"Stenglein, Tyson",3,2,1,4,,,,,1.0,1.0,,1.0,,,,2.0,2.0,,,,,,
19,"Stevens, Mark",4,4,8,12,1,1.0,,,,2.0,4.0,4.0,,1.0,,8.0,5.0,1.0,3.0,,1.0,,
29,"Thiessen, James",12,4,5,17,1,,,1.0,2.0,3.0,2.0,,,,,5.0,13.0,,2.0,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,163,64,102,265,11,6.0,41.0,24.0,29.0,39.0,40.0,23.0,14.0,18.0,,104.0,155.0,10.0,13.0,12.0,9.0,,
Opposition,Opposition,203,71,148,351,19,12.0,25.0,27.0,27.0,55.0,51.0,25.0,18.0,14.0,6.0,133.0,210.0,10.0,8.0,17.0,11.0,,
