Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Dangerfield, Patrick",3,4,10,13,1,,,1.0,,,3.0,4.0,1.0,2.0,,10.0,3.0,2.0,2.0,1.0,,1.0,89.0
11,"Doughty, Michael",6,4,7,13,,,,9.0,,1.0,3.0,4.0,1.0,4.0,,6.0,7.0,,,3.0,,,93.0
26,"Douglas, Richard",16,2,6,22,2,1.0,,1.0,2.0,5.0,3.0,3.0,3.0,2.0,,7.0,16.0,,,4.0,3.0,,83.0
6,"Gunston, Jack",5,2,4,9,2,,,2.0,1.0,1.0,,,,,,5.0,4.0,1.0,1.0,2.0,,,70.0
24,"Jacobs, Sam",6,3,4,10,,,27.0,,3.0,1.0,2.0,2.0,2.0,1.0,,4.0,7.0,,,7.0,,,77.0
10,"Jaensch, Matthew",6,3,10,16,,,,,2.0,,,2.0,,1.0,,4.0,11.0,1.0,,1.0,3.0,,90.0
18,"Johncock, Graham",17,6,9,26,,,,2.0,10.0,1.0,,3.0,1.0,1.0,,8.0,15.0,3.0,,3.0,1.0,1.0,91.0
21,"Knights, Chris",12,6,4,16,,3.0,,1.0,3.0,3.0,1.0,4.0,,1.0,,7.0,9.0,2.0,2.0,1.0,,2.0,86.0
35,"McKernan, Shaun",4,3,2,6,,,6.0,1.0,,1.0,1.0,3.0,,2.0,,3.0,3.0,1.0,,2.0,,,85.0
22,"Otten, Andy",6,8,14,20,,,,3.0,1.0,2.0,,,1.0,,,6.0,14.0,,,9.0,,,89.0
23,"Petrenko, Jared",7,3,10,17,,,,3.0,1.0,3.0,2.0,3.0,,1.0,,5.0,12.0,,,2.0,1.0,1.0,67.0
3,"Reilly, Brent",8,3,8,16,,,,1.0,,,1.0,3.0,,2.0,,5.0,10.0,1.0,,1.0,,1.0,83.0
25,"Rutten, Ben",6,4,5,11,,,,1.0,4.0,,,2.0,1.0,,,5.0,7.0,1.0,,6.0,,,100.0
29,"Sellar, James",4,6,11,15,,,,2.0,2.0,,,4.0,1.0,2.0,,1.0,15.0,,,5.0,,,98.0
9,"Sloane, Rory",12,5,7,19,2,,1.0,,,7.0,2.0,1.0,1.0,,,7.0,11.0,1.0,,,,1.0,78.0
15 ↑,"Symes, Brad",4,4,4,8,,,,2.0,1.0,1.0,2.0,1.0,,,,2.0,6.0,,,3.0,,,41.0
28,"Thompson, Luke",5,5,9,14,,,,,,1.0,,,,,,4.0,10.0,,,2.0,,,96.0
5,"Thompson, Scott",16,5,10,26,,,,8.0,3.0,7.0,5.0,5.0,1.0,2.0,,8.0,20.0,,,1.0,,,88.0
4 ↓,"Tippett, Kurt",1,,,1,,,3.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,45.0
7,"van Berlo, Nathan",8,2,12,20,,1.0,1.0,4.0,2.0,3.0,4.0,,1.0,,,7.0,12.0,,,2.0,,,88.0
17,"Vince, Bernie",13,2,9,22,1,,1.0,5.0,2.0,5.0,4.0,3.0,,1.0,,12.0,10.0,1.0,,,1.0,1.0,81.0
47,"Wright, Matthew",10,1,7,17,2,1.0,,4.0,,3.0,2.0,,1.0,,,9.0,7.0,,1.0,,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,175,81,162,337,10,7.0,39.0,51.0,37.0,46.0,36.0,47.0,16.0,22.0,,126.0,209.0,14.0,6.0,55.0,9.0,8.0,
Opposition,Opposition,226,106,144,370,15,16.0,58.0,60.0,34.0,60.0,46.0,41.0,22.0,16.0,6.0,148.0,222.0,16.0,11.0,45.0,16.0,9.0,
