Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Atkins, Rory",21y 49d,6 (6-0-0 100.00%),4 (0.67),←,
18,"Betts, Eddie",28y 277d,226 (99-3-124 44.47%),395 (1.75),42 (24-0-18 57.14%),105 (2.50)
16,"Brown, Luke",22y 342d,66 (36-0-30 54.55%),3 (0.05),←,
23,"Cameron, Charlie",21y 56d,26 (16-0-10 61.54%),36 (1.38),←,
44,"Crouch, Matt",20y 131d,22 (15-0-7 68.18%),5 (0.23),←,
32,"Dangerfield, Patrick",25y 147d,151 (80-0-71 52.98%),162 (1.07),←,
26,"Douglas, Richard",28y 205d,168 (87-0-81 51.79%),114 (0.68),←,
15,"Hartigan, Kyle",23y 296d,25 (17-0-8 68.00%),,←,
45,"Henderson, Ricky",26y 353d,78 (40-0-38 51.28%),41 (0.53),←,
24,"Jacobs, Sam",27y 142d,124 (65-0-59 52.42%),28 (0.23),107 (58-0-49 54.21%),25 (0.23)
4,"Jenkins, Josh",26y 203d,66 (37-0-29 56.06%),116 (1.76),←,
39,"Knight, Riley",20y 156d,8 (6-0-2 75.00%),6 (0.75),←,
29,"Laird, Rory",21y 244d,54 (30-0-24 55.56%),5 (0.09),←,
6,"Lever, Jake",19y 178d,11 (7-0-4 63.64%),,←,
27,"Lynch, Tom",24y 349d,57 (35-0-22 61.40%),78 (1.37),51 (31-0-20 60.78%),74 (1.45)
31,"Lyons, Jarryd",23y 39d,33 (18-0-15 54.55%),17 (0.52),←,
9,"Sloane, Rory",25y 166d,115 (63-0-52 54.78%),71 (0.62),←,
33,"Smith, Brodie",23y 228d,94 (54-0-40 57.45%),27 (0.29),←,
12,"Talia, Daniel",23y 332d,95 (54-0-41 56.84%),5 (0.05),←,
5,"Thompson, Scott",32y 169d,282 (155-0-127 54.96%),156 (0.55),243 (137-0-106 56.38%),139 (0.57)
7,"van Berlo, Nathan",29y 85d,199 (114-0-85 57.29%),68 (0.34),←,
13,"Walker, Taylor",25y 127d,104 (56-0-48 53.85%),251 (2.41),←,
Totals,Totals,24y 244d,2010 (1090-3-917 54.23%),1588 (0.79),,
C,"Camporeale, Scott",40y 19d,8 (6-0-2 75.00%),,←,
