Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",30y 18d,263 (145-2-116 55.51%),354 (1.35),71 (21-0-50 29.58%),92 (1.30)
36,"Broughton, Greg",27y 245d,95 (42-0-53 44.21%),19 (0.20),27 (13-0-14 48.15%),4 (0.15)
27,"Cameron, Clay",20y 5d,5 (2-0-3 40.00%),,←,
12,"Day, Sam",21y 268d,52 (17-0-35 32.69%),36 (0.69),←,
23,"Dixon, Charlie",23y 251d,41 (14-0-27 34.15%),38 (0.93),←,
33,"Hall, Aaron",23y 204d,40 (17-0-23 42.50%),40 (1.00),←,
5,"Harbrow, Jarrod",25y 318d,136 (61-1-74 45.22%),39 (0.29),66 (21-0-45 31.82%),18 (0.27)
28,"Kolodjashnij, Kade",18y 296d,8 (5-0-3 62.50%),2 (0.25),←,
40,"Lemmens, Sean",19y 211d,10 (7-0-3 70.00%),1 (0.10),←,
19,"Lynch, Tom",21y 213d,48 (15-0-33 31.25%),57 (1.19),←,
32,"Matera, Brandon",22y 82d,48 (16-0-32 33.33%),52 (1.08),←,
17,"May, Steven",22y 142d,44 (15-0-29 34.09%),15 (0.34),←,
18,"McKenzie, Trent",22y 59d,67 (20-0-47 29.85%),19 (0.28),←,
1,"OMeara, Jaeger",20y 98d,32 (15-0-17 46.88%),19 (0.59),←,
10,"Prestia, Dion",21y 232d,61 (17-0-44 27.87%),17 (0.28),←,
35,"Rischitelli, Michael",28y 144d,167 (64-3-100 39.22%),73 (0.44),56 (15-0-41 26.79%),26 (0.46)
8,"Russell, Luke",22y 128d,51 (13-0-38 25.49%),20 (0.39),←,
6,"Sexton, Alex",20y 180d,13 (4-0-9 30.77%),4 (0.31),←,
26,"Shaw, Matt",22y 116d,62 (18-0-44 29.03%),24 (0.39),←,
2,"Smith, Zac",24y 99d,47 (10-0-37 21.28%),28 (0.60),←,
25,"Stanley, Danny",26y 103d,68 (21-0-47 30.88%),35 (0.51),63 (20-0-43 31.75%),35 (0.56)
24,"Swallow, David",21y 194d,61 (18-0-43 29.51%),33 (0.54),←,
Totals,Totals,23y 14d,1419 (556-6-857 39.18%),925 (0.65),,
C,"McKenna, Guy",45y 21d,76 (21-0-55 27.63%),,←,
