Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",10,7,5,15,,,,,,,,,,2.0,,,,,,,,,
22,"Bain, David",15,3,5,20,1,,1.0,,,,,,,1.0,1.0,,,,,,,,
1,"Champion, Richard",10,3,2,12,,1.0,,,,,,,3.0,1.0,,,,,,,,,
12,"Clarke, Troy",9,5,9,18,1,,,3.0,,,,,,1.0,,,,,,,,,
4,"Gastev, John",14,7,10,24,,,,3.0,,,,,,2.0,,,,,,,,,
34,"Green, Ashley",9,4,1,10,,,,,,,,,1.0,2.0,,,,,,,,,
14,"Hamilton, Shane",16,5,7,23,2,,,2.0,,,,,1.0,,,,,,,,,,
32,"Hart, Shaun",20,8,7,27,,1.0,,4.0,,,,,1.0,,,,,,,,,,
8,"Jeffrey, Russell",9,7,7,16,,,,,,,,,1.0,,,,,,,,,,
41,"Kennedy, Matthew",5,4,6,11,,2.0,3.0,3.0,,,,,,,,,,,,,,,
17,"Leslie, Martin",10,6,9,19,,,,1.0,,,,,1.0,2.0,,,,,,,,,
40,"McLuckie, Steven",14,7,4,18,,,,,,,,,,1.0,,,,,,,,,
26,"Noonan, Danny",20,12,16,36,,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,
44,"Palfreyman, Nigel",1,1,1,2,,,,1.0,,,,,,1.0,,,,,,,,,
27,"Rendell, Matthew",9,6,5,14,,3.0,13.0,1.0,,,,,2.0,1.0,,,,,,,,,
6,"Retzlaff, Brendon",8,3,7,15,,,,,,,,,,3.0,,,,,,,,,
23,"Schache, Laurence",13,10,4,17,5,3.0,,1.0,,,,,,4.0,,,,,,,,,
33,"White, Darryl",9,1,7,16,1,,6.0,,,,,,1.0,1.0,,,,,,,,,
18,"Worsfold, Peter",9,3,2,11,2,1.0,,,,,,,1.0,2.0,,,,,,,,,
21,"Zanotti, Mark",3,,3,6,,,,,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,102,117,330,12,13.0,24.0,20.0,,,,,14.0,26.0,1.0,,,,,,,,
Opposition,Opposition,197,71,102,299,18,11.0,23.0,34.0,,,,,27.0,13.0,5.0,,,,,,,,
