Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",20,4,5,25,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
32,"Baldwin, Jason",16,3,3,19,,,,3.0,,,,,1.0,3.0,,,,,,,,,
37,"Bizzotto, Frank",9,1,9,18,,,,,,,,,2.0,,,,,,,,,,
34,"Boyd, Brad",9,5,15,24,,,,5.0,,,,,2.0,3.0,,,,,,,,,
17,"Broderick, Paul",17,3,11,28,1,,,4.0,,,,,1.0,,,,,,,,,,
2,"Dundas, Matthew",15,5,12,27,1,3.0,,3.0,,,,,3.0,,3.0,,,,,,,,
18,"Dunstan, Michael",12,7,4,16,3,1.0,,,,,,,,,,,,,,,,,
6,"Guard, Jeremy",11,2,5,16,1,,,2.0,,,,,,1.0,,,,,,,,,
36,"Hawking, Simon",15,4,7,22,,,,1.0,,,,,3.0,,,,,,,,,,
26,"Johnston, David",9,5,7,16,,2.0,,1.0,,,,,,1.0,,,,,,,,,
11,"Lynch, Alastair",16,13,2,18,7,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
29,"Lyon, Ross",9,4,7,16,3,,,1.0,,,,,2.0,4.0,,,,,,,,,
31,"Matthews, Ashley",3,1,1,4,,,,,,,,,,,,,,,,,,,
25,"McCarthy, John",7,5,1,8,2,1.0,,,,,,,,1.0,,,,,,,,,
49,"McGregor, Anthony",13,4,3,16,,1.0,,2.0,,,,,,2.0,,,,,,,,,
4,"Paxman, Stephen",7,5,3,10,,,,,,,,,,,,,,,,,,,
1,"Roos, Paul",16,7,11,27,1,,1.0,2.0,,,,,2.0,,,,,,,,,,
9,"Sartori, Peter",16,12,16,32,,,9.0,,,,,,6.0,2.0,,,,,,,,,
8,"Wynd, Jim",19,7,8,27,2,,,4.0,,,,,2.0,1.0,,,,,,,,,
16,"Zanotti, Mark",13,7,6,19,,,,2.0,,,,,1.0,3.0,1.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,252,104,136,388,22,15.0,10.0,32.0,,,,,28.0,24.0,6.0,,,,,,,,
Opposition,Opposition,194,71,97,291,5,13.0,21.0,21.0,,,,,24.0,28.0,,,,,,,,,
