Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",2,,5,7,,,,1.0,,,,,1.0,1.0,,,,,,,,,
30,"Bourke, Damian",5,4,1,6,,,18.0,,,,,,,6.0,,,,,,,,,
11,"Buckley, Nathan",20,6,5,25,1,2.0,,,,,,,,2.0,,,,,,,,,
1,"Champion, Richard",12,6,2,14,,,1.0,1.0,,,,,1.0,3.0,,,,,,,,,
5,"Chapman, Nathan",6,1,,6,,3.0,,1.0,,,,,1.0,3.0,,,,,,,,,
6,"Fletcher, Adrian",16,4,14,30,2,,,1.0,,,,,1.0,,,,,,,,,,
29,"Francis, Fabian",15,7,7,22,,2.0,,,,,,,1.0,1.0,,,,,,,,,
32,"Hart, Shaun",9,3,4,13,,,,2.0,,,,,,1.0,,,,,,,,,
41,"Kennedy, Matthew",7,6,5,12,,,,,,,,,1.0,,,,,,,,,,
31,"McCormack, Brendan",11,4,9,20,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
7,"McIvor, Scott",15,2,4,19,,,,3.0,,,,,5.0,1.0,,,,,,,,,
19,"McLean, Michael",20,7,7,27,,,,,,,,,1.0,1.0,,,,,,,,,
24,"Merrett, Roger",7,3,3,10,,3.0,1.0,2.0,,,,,4.0,2.0,,,,,,,,,
26,"Noonan, Danny",11,1,3,14,,,,4.0,,,,,1.0,1.0,,,,,,,,,
21,"Parker, John",3,1,4,7,,,,,,,,,1.0,2.0,,,,,,,,,
13,"Pearce, Brad",,,,,,,,,,,,,,,,,,,,,,,
8,"Peos, Paul",12,6,4,16,,,,2.0,,,,,2.0,1.0,,,,,,,,,
3,"Voss, Michael",10,6,11,21,,,,1.0,,,,,1.0,,,,,,,,,,
33,"White, Darryl",10,3,9,19,1,,,2.0,,,,,2.0,1.0,,,,,,,,,
18,"Worsfold, Peter",3,1,,3,1,2.0,,,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,71,97,291,5,13.0,21.0,21.0,,,,,24.0,28.0,,,,,,,,,
Opposition,Opposition,252,104,136,388,22,15.0,10.0,32.0,,,,,28.0,24.0,6.0,,,,,,,,
