Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Doyle, Greg",5,3,5,10,,,13.0,1.0,,,,,3.0,,,,,,,,,,
23,"Dyson, Kevin",13,5,17,30,,,,1.0,,,,,,1.0,,,,,,,,,
20,"Febey, Matthew",21,10,14,35,,3.0,,3.0,,,,,1.0,2.0,,,,,,,,,
21,"Febey, Steven",24,4,15,39,1,,,,,,,,2.0,1.0,,,,,,,,,
14,"Grinter, Rod",4,1,1,5,2,,,,,,,,2.0,,,,,,,,,,
22,"Hilton, Jeff",10,3,6,16,1,1.0,,,,,,,1.0,4.0,,,,,,,,,
13,"Jakovich, Allen",10,8,1,11,6,4.0,,1.0,,,,,,,,,,,,,,,
7,"Kowal, Darren",6,2,10,16,,1.0,,2.0,,,,,,,,,,,,,,,
37,"Lamprill, Andrew",8,2,,8,,,,1.0,,,,,1.0,,,,,,,,,,
16,"Lovell, Andy",14,4,9,23,2,,,1.0,,,,,3.0,4.0,,,,,,,,,
17,"Lovett, Brett",12,4,10,22,2,,,3.0,,,,,1.0,,,,,,,,,,
9,"Neitz, David",16,7,4,20,,,1.0,,,,,,,,,,,,,,,,
29,"Obst, Andrew",10,2,9,19,,,,6.0,,,,,2.0,1.0,,,,,,,,,
19,"Prymke, Paul",4,3,4,8,,,,,,,,,1.0,,,,,,,,,,
41,"Rohde, Peter",11,5,6,17,1,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
5,"Schwarz, David",13,9,6,19,1,2.0,6.0,1.0,,,,,,2.0,3.0,,,,,,,,
11,"Stynes, Jim",14,9,8,22,,,5.0,,,,,,2.0,2.0,2.0,,,,,,,,
4,"Sullivan, Chris",5,3,3,8,,,,4.0,,,,,,1.0,,,,,,,,,
12,"Viney, Todd",12,2,11,23,1,,,1.0,,,,,,2.0,,,,,,,,,
27,"Wight, Sean",3,1,5,8,,,,,,,,,,1.0,,,,,,,,,
8,"Yeats, Graeme",15,3,3,18,,,,4.0,,,,,,,1.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,230,90,147,377,17,15.0,25.0,32.0,,,,,20.0,22.0,6.0,,,,,,,,
Opposition,Opposition,165,59,120,285,4,6.0,8.0,35.0,,,,,22.0,20.0,,,,,,,,,
