Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",14,1,7,21,,1.0,,1.0,,,,,1.0,,,,,,,,,,
1,"Champion, Richard",12,5,5,17,2,,,1.0,,,,,,1.0,,,,,,,,,
5,"Chapman, Nathan",3,2,,3,,,,,,,,,,,,,,,,,,,
16,"Clarke, Matthew",8,3,5,13,,,17.0,2.0,,,,,2.0,1.0,,,,,,,,,
14,"Dickfos, Danny",5,5,3,8,,,,2.0,,,,,,,,,,,,,,,
6,"Fletcher, Adrian",15,2,8,23,1,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
8,"Gowers, Andrew",6,5,4,10,,,,1.0,,,,,2.0,1.0,,,,,,,,,
32,"Hart, Shaun",14,3,5,19,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",17,5,3,20,,,,1.0,,,,,2.0,,,,,,,,,,
18,"Lambert, Craig",12,3,14,26,1,1.0,,6.0,,,,,,1.0,,,,,,,,,
44,"Lappin, Nigel",13,2,12,25,1,,,,,,,,3.0,1.0,,,,,,,,,
23,"Leppitsch, Justin",8,5,3,11,1,1.0,,1.0,,,,,,3.0,,,,,,,,,
11,"Lynch, Alastair",6,3,3,9,2,2.0,,,,,,,2.0,,,,,,,,,,
42,"Lynch, Tristan",11,5,5,16,,,,3.0,,,,,1.0,,,,,,,,,,
2,"McAdam, Gilbert",3,3,4,7,1,1.0,,,,,,,1.0,,,,,,,,,,
19,"McLean, Michael",6,1,7,13,,,,,,,,,,,,,,,,,,,
4,"McRae, Craig",9,2,4,13,,1.0,,2.0,,,,,3.0,,,,,,,,,,
24,"Merrett, Roger",1,,2,3,,,1.0,1.0,,,,,,,,,,,,,,,
22,"Scott, Chris",12,3,7,19,,,,3.0,,,,,2.0,1.0,,,,,,,,,
38,"Scott, Dion",1,,,1,,,3.0,,,,,,,,,,,,,,,,
33,"White, Darryl",9,4,3,12,1,,1.0,1.0,,,,,,4.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,185,62,104,289,11,10.0,22.0,28.0,,,,,22.0,16.0,,,,,,,,,
Opposition,Opposition,184,84,83,267,17,12.0,13.0,22.0,,,,,16.0,22.0,,,,,,,,,
