West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
6,"Banfield, Drew",22y 151d,71 (48-0-23 67.61%),23 (0.32),←,
35,"Cousins, Ben",18y 27d,14 (11-0-3 78.57%),23 (1.64),←,
29,"Donnelly, Andrew",23y 120d,14 (12-0-2 85.71%),23 (1.64),←,
22,"Downsborough, Ian",24y 190d,15 (9-0-6 60.00%),4 (0.27),←,
18,"Evans, Tony",27y 43d,82 (57-0-25 69.51%),66 (0.80),←,
7,"Gehrig, Fraser",20y 146d,33 (21-0-12 63.64%),28 (0.85),←,
36,"Hart, David",32y 146d,172 (109-1-62 63.66%),92 (0.53),←,
2,"Kemp, Dean",27y 161d,148 (101-2-45 68.92%),81 (0.55),←,
28,"Lewis, Chris",27y 132d,180 (113-2-65 63.33%),221 (1.23),←,
3,"Mainwaring, Chris",30y 213d,187 (119-2-66 64.17%),82 (0.44),←,
30,"Matera, Peter",27y 115d,135 (95-1-39 70.74%),148 (1.10),←,
11,"McIntosh, Ashley",23y 281d,104 (75-0-29 72.12%),86 (0.83),←,
17,"McKenna, Guy",27y 77d,186 (122-1-63 65.86%),23 (0.12),←,
8,"Metropolis, Daniel",24y 132d,38 (23-0-15 60.53%),26 (0.68),←,
42,"Morrison, Chad",18y 120d,11 (9-0-2 81.82%),16 (1.45),←,
10,"Pyke, Don",27y 235d,132 (84-0-48 63.64%),70 (0.53),←,
21,"Schofield, Jarrad",21y 179d,22 (17-0-5 77.27%),17 (0.77),←,
16,"Symmons, Paul",22y 329d,39 (24-0-15 61.54%),8 (0.21),←,
50,"Turnbull, Ryan",24y 308d,66 (46-0-20 69.70%),18 (0.27),←,
39,"Waterman, Chris",27y 312d,136 (90-2-44 66.91%),64 (0.47),←,
12,"White, Mitchell",23y 121d,90 (59-1-30 66.11%),39 (0.43),←,
Totals,Totals,24y 325d,1875 (1244-12-619 66.35%),1158 (0.62),,
C,"Malthouse, Mick",42y 345d,300 (181-4-115 61.00%),,165 (114-2-49 69.70%),
