Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Allan, Matthew",11,7,7,18,,,25.0,,1.0,4.0,4.0,4.0,,2.0,,,,,,,,,
29,"Beaumont, Simon",9,4,6,15,1,,,1.0,2.0,2.0,,,1.0,,,,,,,,,,
21,"Bradley, Craig",11,4,15,26,,,,,2.0,3.0,5.0,,,,,,,,,,,,
20,"Brown, Fraser",15,3,17,32,1,,,2.0,1.0,7.0,7.0,2.0,1.0,1.0,1.0,,,,,,,,
16,"Camporeale, Scott",21,2,6,27,5,,,2.0,,9.0,5.0,,2.0,1.0,2.0,,,,,,,,
34,"De Iulio, Ron",12,5,5,17,,1.0,,1.0,2.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,
35,"Dean, Peter",1,2,3,4,,1.0,,1.0,,,,1.0,,,,,,,,,,,
45,"Franchina, Anthony",8,2,5,13,,1.0,,6.0,2.0,2.0,1.0,,,1.0,,,,,,,,,
36,"Hamill, Aaron",8,4,6,14,1,1.0,,2.0,,2.0,1.0,1.0,,1.0,,,,,,,,,
33,"Hogg, Matthew",3,,1,4,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,
26,"Hynes, John",6,2,,6,1,,,,1.0,,,,1.0,,,,,,,,,,
43,"Koutoufides, Anthony",13,12,8,21,1,2.0,,,1.0,3.0,1.0,1.0,,2.0,,,,,,,,,
22,"Manton, Glenn",3,4,7,10,,,,,1.0,,1.0,,,,,,,,,,,,
3,"Massie, Kris",1,1,4,5,,,,,,,1.0,,,,,,,,,,,,
5,"McKay, Andrew",7,,7,14,,,,,4.0,1.0,,,2.0,2.0,,,,,,,,,
18,"Murphy, Justin",14,4,16,30,1,,,1.0,6.0,5.0,2.0,3.0,1.0,,,,,,,,,,
7,"Ratten, Brett",17,3,15,32,2,,,6.0,,3.0,9.0,,,1.0,,,,,,,,,
23,"Rice, Dean",14,3,3,17,,,,2.0,7.0,,,2.0,1.0,,,,,,,,,,
14,"Sexton, Michael",4,3,3,7,,,,1.0,2.0,,,1.0,2.0,1.0,,,,,,,,,
1,"Silvagni, Stephen",5,4,4,9,1,1.0,,3.0,,1.0,,,1.0,4.0,,,,,,,,,
30,"White, Adam",11,1,11,22,1,,1.0,2.0,1.0,5.0,4.0,,,,,,,,,,,,
8,"Whitnall, Lance",17,11,11,28,2,4.0,3.0,2.0,,11.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,81,160,371,17,16.0,29.0,32.0,33.0,62.0,45.0,21.0,15.0,19.0,6.0,,,,,,,,
Opposition,Opposition,180,67,136,316,8,15.0,22.0,20.0,38.0,49.0,26.0,18.0,19.0,15.0,,,,,,,,,
