Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
40,"Bryan, Chris",5,2,,5,,1.0,9.0,4.0,,2.0,1.0,4.0,1.0,1.0,,3.0,2.0,1.0,1.0,,,,57.0
17,"Burns, Scott",8,5,7,15,,,,9.0,2.0,1.0,3.0,3.0,,,,7.0,8.0,,,,,2.0,84.0
32,"Cloke, Travis",16,11,,16,3,4.0,,1.0,,4.0,,1.0,2.0,,,4.0,13.0,1.0,5.0,,,1.0,99.0
33,"Dick, Brad",6,1,3,9,,,,,,5.0,,,,,,5.0,3.0,,,,1.0,1.0,70.0
4,"Didak, Alan",8,3,2,10,4,1.0,,,,3.0,,3.0,2.0,2.0,,5.0,4.0,,2.0,1.0,,1.0,85.0
25,"Fraser, Josh",14,7,5,19,2,,24.0,3.0,1.0,3.0,3.0,,3.0,,,9.0,10.0,2.0,1.0,2.0,,2.0,77.0
6,"Holland, Brodie",7,3,7,14,,,,2.0,1.0,1.0,,2.0,,1.0,,6.0,9.0,1.0,,2.0,1.0,,60.0
37,"Iles, Sam",6,3,8,14,,,,,,2.0,2.0,1.0,2.0,,,8.0,6.0,,,4.0,,1.0,74.0
26,"Johnson, Ben",7,2,3,10,,,,3.0,,3.0,1.0,3.0,2.0,1.0,,7.0,4.0,,,3.0,,,83.0
24,"Lockyer, Tarkyn",19,10,5,24,1,2.0,,3.0,2.0,4.0,3.0,3.0,,,2.0,7.0,17.0,,1.0,3.0,1.0,1.0,78.0
30,"Lumumba, Heritier",11,10,6,17,,,,2.0,5.0,2.0,1.0,3.0,,1.0,,5.0,12.0,2.0,,2.0,,,100.0
27,"Maxwell, Nick",8,5,8,16,,,,6.0,4.0,2.0,,3.0,,2.0,,5.0,10.0,,,7.0,2.0,,82.0
11,"OBree, Shane",11,3,8,19,,2.0,,9.0,,8.0,8.0,5.0,2.0,2.0,,8.0,11.0,,,3.0,,4.0,72.0
10,"Pendlebury, Scott",9,4,15,24,1,,1.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,,9.0,16.0,,1.0,4.0,3.0,1.0,82.0
35,"Prestigiacomo, Simon",3,5,2,5,,,,1.0,1.0,,,1.0,,,,2.0,3.0,2.0,,2.0,1.0,,85.0
23,"Rocca, Anthony",9,7,,9,2,3.0,1.0,,,5.0,,3.0,1.0,2.0,,6.0,3.0,4.0,2.0,2.0,,,89.0
39,"Shaw, Heath",16,4,3,19,,,,2.0,8.0,1.0,,3.0,2.0,1.0,,9.0,8.0,2.0,,6.0,1.0,,100.0
22,"Shaw, Rhyce",12,4,2,14,,,,2.0,3.0,,,2.0,1.0,,,2.0,10.0,,,4.0,1.0,,71.0
36,"Swan, Dane",20,7,9,29,1,,,4.0,3.0,7.0,6.0,3.0,2.0,,3.0,11.0,17.0,,,4.0,,,86.0
13,"Thomas, Dale",8,6,6,14,1,2.0,3.0,2.0,,3.0,,4.0,1.0,1.0,,3.0,10.0,,2.0,7.0,2.0,1.0,80.0
34,"Toovey, Alan",6,3,4,10,1,,,2.0,1.0,,,1.0,1.0,1.0,,5.0,5.0,,1.0,3.0,,,92.0
14,"Wakelin, Shane",8,4,4,12,1,,1.0,1.0,4.0,,,3.0,1.0,,,6.0,6.0,,,7.0,,,95.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,217,109,107,324,17,17.0,39.0,61.0,37.0,59.0,31.0,52.0,24.0,16.0,5.0,132.0,187.0,15.0,16.0,66.0,13.0,15.0,
Opposition,Opposition,192,86,118,310,14,11.0,29.0,55.0,36.0,52.0,39.0,49.0,16.0,24.0,1.0,128.0,176.0,14.0,10.0,47.0,14.0,11.0,
