Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",25y 113d,63 (34-0-29 53.97%),11 (0.17),←,
19,"Betts, Eddie",25y 139d,147 (59-3-85 41.16%),224 (1.52),←,
18,"Bower, Paul",24y 95d,63 (24-0-39 38.10%),3 (0.05),←,
44,"Carrazzo, Andrew",28y 120d,143 (58-3-82 41.61%),42 (0.29),←,
35,"Curnow, Ed",22y 158d,15 (12-1-2 83.33%),3 (0.20),←,
34,"Duigan, Nick",27y 219d,23 (15-1-7 67.39%),1 (0.04),←,
38,"Garlett, Jeff",22y 254d,57 (35-1-21 62.28%),105 (1.84),←,
4,"Gibbs, Bryce",23y 29d,115 (55-1-59 48.26%),61 (0.53),←,
22,"Hampson, Shaun",24y 23d,47 (27-1-19 58.51%),20 (0.43),←,
23,"Henderson, Lachie",22y 121d,52 (27-1-24 52.88%),31 (0.60),37 (19-1-17 52.70%),28 (0.76)
40,"Jamison, Michael",25y 307d,72 (35-1-36 49.31%),1 (0.01),←,
5,"Judd, Chris",28y 218d,225 (134-3-88 60.22%),197 (0.88),91 (50-1-40 55.49%),59 (0.65)
8,"Kreuzer, Matthew",22y 336d,71 (40-0-31 56.34%),40 (0.56),←,
15,"Laidler, Jeremy",22y 252d,24 (15-1-8 64.58%),2 (0.08),22 (14-1-7 65.91%),2 (0.09)
9,"Lucas, Kane",20y 292d,13 (8-0-5 61.54%),3 (0.23),←,
3,"Murphy, Marc",24y 269d,129 (58-1-70 45.35%),109 (0.84),←,
12,"Robinson, Mitch",22y 311d,52 (32-1-19 62.50%),30 (0.58),←,
29,"Scotland, Heath",31y 267d,226 (93-2-131 41.59%),73 (0.32),173 (70-2-101 41.04%),61 (0.35)
6,"Simpson, Kade",27y 344d,160 (66-2-92 41.88%),99 (0.62),←,
42,"Tuohy, Zach",22y 125d,14 (11-0-3 78.57%),5 (0.36),←,
30,"Waite, Jarrad",29y 69d,146 (51-3-92 35.96%),178 (1.22),←,
13,"Yarran, Chris",21y 116d,48 (26-1-21 55.21%),35 (0.73),←,
Totals,Totals,24y 306d,1905 (915-27-963 48.03%),1273 (0.67),,
C,"Ratten, Brett",40y 277d,101 (52-1-48 51.98%),,←,
