Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Armfield, Dennis",6,2,5,11,,,,2.0,,3.0,1.0,2.0,,,,1.0,10.0,,,1.0,2.0,2.0,78.0
19,"Betts, Eddie",7,2,5,12,1,2.0,,2.0,,2.0,1.0,2.0,,,,8.0,4.0,1.0,2.0,2.0,2.0,3.0,82.0
18,"Bower, Paul",8,7,7,15,1,,,1.0,3.0,,1.0,1.0,,1.0,,5.0,10.0,2.0,1.0,2.0,3.0,,89.0
44,"Carrazzo, Andrew",10,1,10,20,2,,,4.0,2.0,4.0,2.0,6.0,1.0,1.0,,5.0,14.0,,,2.0,3.0,2.0,90.0
31,"Davies, Marcus",3,2,7,10,,,,1.0,1.0,,,2.0,1.0,2.0,,4.0,6.0,,,1.0,,,71.0
46,"Ellard, David",9,2,5,14,1,,,9.0,3.0,2.0,7.0,,3.0,,,11.0,6.0,,1.0,4.0,,1.0,76.0
38,"Garlett, Jeff",14,5,2,16,6,2.0,,1.0,,4.0,1.0,1.0,2.0,,2.0,8.0,9.0,,4.0,2.0,,,82.0
4,"Gibbs, Bryce",6,3,7,13,,,,3.0,3.0,,,1.0,,,,6.0,6.0,1.0,,6.0,,,92.0
16,"Grigg, Shaun",10,5,17,27,1,,2.0,1.0,3.0,4.0,1.0,2.0,,1.0,,10.0,15.0,,1.0,,1.0,2.0,75.0
10,"Hadley, Richard",6,4,11,17,,,,8.0,1.0,2.0,4.0,4.0,1.0,2.0,,12.0,8.0,,,1.0,,,74.0
22,"Hampson, Shaun",7,5,1,8,1,3.0,12.0,3.0,,2.0,1.0,3.0,3.0,2.0,,5.0,4.0,2.0,2.0,2.0,,,65.0
23,"Henderson, Lachie",9,8,8,17,,1.0,,1.0,,3.0,,3.0,,3.0,,5.0,11.0,1.0,2.0,2.0,,3.0,89.0
40,"Jamison, Michael",3,2,2,5,,,,1.0,3.0,,,2.0,,1.0,,2.0,3.0,,,5.0,,,94.0
45,"Joseph, Aaron",2,,5,7,1,,,6.0,,1.0,1.0,2.0,1.0,1.0,,3.0,4.0,,,4.0,,,86.0
5,"Judd, Chris",14,3,14,28,1,,,5.0,2.0,7.0,6.0,5.0,3.0,2.0,3.0,13.0,12.0,,,3.0,,,80.0
3,"Murphy, Marc",15,5,8,23,1,,,6.0,2.0,8.0,3.0,3.0,,1.0,1.0,9.0,14.0,1.0,,5.0,3.0,1.0,82.0
12,"Robinson, Mitch",6,2,7,13,2,,,4.0,,3.0,,3.0,1.0,1.0,,8.0,4.0,,,1.0,,1.0,88.0
2,"Russell, Jordan",5,2,5,10,,,,4.0,2.0,,1.0,3.0,,1.0,,3.0,7.0,,,2.0,,,90.0
29,"Scotland, Heath",11,3,10,21,,,,3.0,1.0,4.0,2.0,3.0,3.0,2.0,,10.0,12.0,1.0,,2.0,,1.0,82.0
6,"Simpson, Kade",13,3,7,20,1,,1.0,6.0,,5.0,4.0,3.0,1.0,,,10.0,10.0,2.0,,,5.0,1.0,75.0
30,"Waite, Jarrad",10,4,3,13,4,,,7.0,1.0,4.0,,3.0,,2.0,,3.0,11.0,,1.0,3.0,2.0,,90.0
11,"Warnock, Robert",7,3,3,10,,1.0,28.0,1.0,,3.0,2.0,4.0,1.0,3.0,,5.0,5.0,1.0,1.0,2.0,,,71.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,181,73,149,330,23,11.0,43.0,79.0,27.0,61.0,38.0,58.0,21.0,26.0,6.0,146.0,185.0,12.0,15.0,52.0,21.0,17.0,
Opposition,Opposition,170,84,154,324,9,19.0,27.0,91.0,32.0,42.0,25.0,40.0,26.0,21.0,,125.0,200.0,13.0,18.0,45.0,12.0,5.0,
