Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",12,2,8,20,,3.0,,5.0,,,,,2.0,4.0,,,,,,,,,
18,"Cameron, Leon",20,5,5,25,2,,2.0,,,,,,1.0,3.0,3.0,,,,,,,,
6,"Campbell, Tony",9,4,3,12,,,,,,,,,2.0,1.0,,,,,,,,,
31,"Darcy, Anthony",6,1,3,9,,,,1.0,,,,,,2.0,,,,,,,,,
26,"Del-Re, Danny",6,4,1,7,3,2.0,,2.0,,,,,1.0,3.0,,,,,,,,,
32,"Foster, Peter",14,4,6,20,,,,1.0,,,,,3.0,2.0,,,,,,,,,
41,"Frost, Michael",5,3,4,9,,1.0,,,,,,,1.0,,,,,,,,,,
29,"Grant, Chris",9,5,8,17,1,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
7,"Hawkins, Doug",7,8,12,19,,1.0,,2.0,,,,,2.0,,,,,,,,,,
10,"Hunter, Mark",20,3,1,21,,,,3.0,,,,,1.0,1.0,,,,,,,,,
4,"Kellett, Nigel",16,3,2,18,2,,,4.0,,,,,4.0,2.0,1.0,,,,,,,,
39,"Liberatore, Tony",16,1,8,24,2,1.0,,4.0,,,,,,2.0,,,,,,,,,
27,"Macpherson, Stephen",10,5,9,19,,,,4.0,,,,,,1.0,,,,,,,,,
22,"Quill, Peter",6,3,,6,1,,,2.0,,,,,,2.0,,,,,,,,,
2,"Reynolds, Keenan",9,6,8,17,1,2.0,1.0,2.0,,,,,2.0,4.0,2.0,,,,,,,,
33,"Royal, Brian",6,1,9,15,3,,,,,,,,,,,,,,,,,,
17,"Standfield, Barry",14,11,7,21,,,12.0,,,,,,2.0,6.0,,,,,,,,,
8,"Toohey, Bernard",18,4,5,23,,,,3.0,,,,,3.0,1.0,,,,,,,,,
14,"West, Scott",14,2,3,17,,4.0,,3.0,,,,,3.0,5.0,,,,,,,,,
15,"Wynd, Scott",,1,,,,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,217,76,102,319,15,16.0,15.0,37.0,,,,,28.0,41.0,6.0,,,,,,,,
Opposition,Opposition,187,57,120,307,11,12.0,21.0,32.0,,,,,41.0,28.0,,,,,,,,,
