Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
18,"Cameron, Leon",25y 215d,135 (71-2-62 53.33%),56 (0.41),←,
12,"Cook, James",24y 88d,45 (28-0-17 62.22%),82 (1.82),20 (12-0-8 60.00%),47 (2.35)
16,"Croft, Matthew",25y 38d,65 (36-2-27 56.92%),35 (0.54),←,
11,"Curley, Todd",25y 81d,33 (13-1-19 40.91%),25 (0.76),30 (11-1-18 38.33%),24 (0.80)
14,"Darcy, Luke",22y 267d,49 (23-1-25 47.96%),38 (0.78),←,
21,"Dent, Matthew",26y 78d,69 (19-0-50 27.54%),15 (0.22),22 (15-0-7 68.18%),6 (0.27)
28,"Dimattina, Paul",23y 134d,31 (19-0-12 61.29%),11 (0.35),←,
32,"Ellis, Craig",22y 305d,47 (24-0-23 51.06%),1 (0.02),←,
4,"Garlick, Simon",22y 360d,46 (26-0-20 56.52%),27 (0.59),2 (2-0-0 100.00%),
3,"Grant, Chris",25y 113d,169 (87-3-79 52.37%),316 (1.87),←,
9,"Hudson, Paul",27y 259d,156 (93-0-63 59.62%),296 (1.90),22 (13-0-9 59.09%),32 (1.45)
6,"Johnson, Brad",21y 261d,78 (36-2-40 47.44%),47 (0.60),←,
2,"Kolyniuk, Steven",27y 274d,139 (70-1-68 50.72%),148 (1.06),←,
35,"Kretiuk, Steven",25y 275d,78 (43-1-34 55.77%),9 (0.12),←,
39,"Liberatore, Tony",32y 53d,199 (105-3-91 53.52%),89 (0.45),←,
23,"Martin, Michael",21y 39d,19 (9-1-9 50.00%),7 (0.37),←,
36,"Romero, Jose",26y 247d,152 (79-1-72 52.30%),131 (0.86),63 (30-1-32 48.41%),33 (0.52)
5,"Smith, Rohan",24y 309d,101 (52-2-47 52.48%),68 (0.67),←,
8,"Southern, Daniel",23y 94d,66 (33-1-32 50.76%),14 (0.21),←,
7,"West, Scott",23y 142d,104 (52-1-51 50.48%),43 (0.41),←,
24,"Wira, Brad",26y 20d,40 (16-1-23 41.25%),2 (0.05),39 (16-1-22 42.31%),2 (0.05)
15,"Wynd, Scott",28y 70d,171 (84-3-84 50.00%),27 (0.16),←,
Totals,Totals,25y 36d,1992 (1018-26-948 51.10%),1487 (0.75),,
C,"Wallace, Terry",39y 113d,36 (20-0-16 55.56%),,←,
