Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
41,"Casboult, Levi",27y 67d,81 (27-1-53 33.95%),86 (1.06),←,
9,"Cripps, Patrick",22y 64d,53 (14-1-38 27.36%),20 (0.38),←,
28,"Cuningham, David",20y 52d,4 (1-0-3 25.00%),,←,
30,"Curnow, Charlie",20y 107d,14 (3-0-11 21.43%),8 (0.57),←,
35,"Curnow, Ed",27y 195d,118 (49-2-67 42.37%),20 (0.17),←,
15,"Docherty, Sam",23y 216d,79 (25-1-53 32.28%),12 (0.15),66 (19-1-46 29.55%),11 (0.17)
25,"Fisher, Zac",18y 340d,5 (1-0-4 20.00%),2 (0.40),←,
4,"Gibbs, Bryce",28y 67d,218 (92-2-124 42.66%),125 (0.57),←,
32,"Graham, Nick",22y 343d,32 (10-0-22 31.25%),8 (0.25),←,
8,"Kreuzer, Matthew",28y 8d,148 (68-0-80 45.95%),77 (0.52),←,
22,"Marchbank, Caleb",20y 165d,16 (5-0-11 31.25%),,9 (3-0-6 33.33%),
3,"Murphy, Marc",29y 306d,223 (95-1-127 42.83%),163 (0.73),←,
5,"Petrevski-Seton, Sam",19y 91d,9 (3-0-6 33.33%),5 (0.56),←,
20,"Plowman, Lachie",22y 252d,48 (14-0-34 29.17%),1 (0.02),28 (10-0-18 35.71%),
17,"Rowe, Sam",29y 183d,82 (26-1-55 32.32%),16 (0.20),←,
44,"Silvagni, Alex",29y 234d,57 (30-1-26 53.51%),10 (0.18),4 (2-0-2 50.00%),
1,"Silvagni, Jack",19y 155d,16 (2-0-14 12.50%),15 (0.94),←,
6,"Simpson, Kade",33y 16d,273 (105-3-165 39.01%),130 (0.48),←,
39,"Thomas, Dale",29y 334d,207 (119-2-86 57.97%),144 (0.70),50 (16-0-34 32.00%),23 (0.46)
23,"Weitering, Jacob",19y 179d,29 (8-0-21 27.59%),9 (0.31),←,
31,"Williamson, Tom",18y 160d,7 (3-0-4 42.86%),1 (0.14),←,
46,"Wright, Matthew",27y 158d,125 (59-0-66 47.20%),97 (0.78),31 (10-0-21 32.26%),34 (1.10)
Totals,Totals,24y 168d,1844 (759-15-1070 41.16%),949 (0.51),,
C,"Bolton, Brendon",38y 33d,36 (15-0-21 41.67%),,31 (10-0-21 32.26%),
