Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
21,"Bradley, Craig",31y 244d,213 (131-2-80 61.97%),160 (0.75),←,
20,"Brown, Fraser",24y 310d,96 (54-1-41 56.77%),60 (0.63),←,
16,"Camporeale, Scott",19y 317d,12 (10-0-2 83.33%),6 (0.50),←,
39,"Christou, Ang",23y 159d,60 (41-1-18 69.17%),13 (0.22),←,
35,"Dean, Peter",30y 107d,197 (124-1-72 63.20%),28 (0.14),←,
13,"Hanna, Mil",29y 80d,162 (92-2-68 57.41%),74 (0.46),←,
4,"Kernahan, Stephen",31y 296d,207 (128-2-77 62.32%),627 (3.03),←,
43,"Koutoufides, Anthony",22y 157d,48 (29-1-18 61.46%),16 (0.33),←,
15,"Lynn, Tony",27y 56d,29 (19-0-10 65.52%),17 (0.59),23 (18-0-5 78.26%),12 (0.52)
44,"Madden, Justin",34y 24d,298 (185-2-111 62.42%),183 (0.61),253 (155-2-96 61.66%),163 (0.64)
22,"Manton, Glenn",22y 23d,22 (12-0-10 54.55%),4 (0.18),1 (1-0-0 100.00%),
5,"McKay, Andrew",24y 345d,58 (40-1-17 69.83%),12 (0.21),←,
10,"Mitchell, Barry",29y 199d,213 (100-2-111 47.42%),246 (1.15),30 (22-0-8 73.33%),24 (0.80)
19,"Pearce, Brad",23y 312d,15 (11-0-4 73.33%),21 (1.40),13 (11-0-2 84.62%),20 (1.54)
7,"Ratten, Brett",23y 348d,84 (49-0-35 58.33%),19 (0.23),←,
23,"Rice, Dean",27y 99d,122 (49-1-72 40.57%),46 (0.38),6 (4-0-2 66.67%),3 (0.50)
14,"Sexton, Michael",24y 111d,94 (57-1-36 61.17%),8 (0.09),←,
1,"Silvagni, Stephen",28y 24d,176 (113-1-62 64.49%),119 (0.68),←,
11,"Spalding, Earl",30y 105d,182 (120-1-61 66.21%),130 (0.71),73 (50-1-22 69.18%),67 (0.92)
32,"Whitehead, Adrian",19y 303d,20 (16-0-4 80.00%),,←,
2,"Williams, Greg",31y 267d,208 (121-1-86 58.41%),174 (0.84),67 (45-1-21 67.91%),46 (0.69)
Totals,Totals,26y 255d,2516 (1501-20-995 59.66%),1963 (0.78),,
C,"Parkin, David",52y 285d,386 (228-2-156 59.33%),,223 (141-2-80 63.68%),
