Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
31,"Alvin, Tom",32y 100d,213 (127-2-84 60.09%),92 (0.43),←,
8,"Bond, Troy",21y 16d,17 (13-0-4 76.47%),23 (1.35),←,
21,"Bradley, Craig",30y 280d,197 (119-2-76 60.91%),149 (0.76),←,
20,"Brown, Fraser",23y 346d,84 (47-1-36 56.55%),43 (0.51),←,
39,"Christou, Ang",22y 195d,42 (29-1-12 70.24%),8 (0.19),←,
18,"Cook, James",20y 204d,15 (11-0-4 73.33%),22 (1.47),←,
35,"Dean, Peter",29y 143d,179 (112-1-66 62.85%),22 (0.12),←,
12,"Gleeson, Adrian",27y 91d,157 (97-2-58 62.42%),159 (1.01),←,
13,"Hanna, Mil",28y 116d,146 (81-2-63 56.16%),64 (0.44),←,
17,"Heaver, Brent",23y 45d,52 (36-1-15 70.19%),90 (1.73),40 (27-1-12 68.75%),78 (1.95)
33,"Hogg, Matthew",25y 221d,113 (60-3-50 54.42%),28 (0.25),54 (36-1-17 67.59%),24 (0.44)
4,"Kernahan, Stephen",30y 332d,193 (118-2-73 61.66%),572 (2.96),←,
43,"Koutoufides, Anthony",21y 193d,30 (17-1-12 58.33%),6 (0.20),←,
15,"Lynn, Tony",26y 92d,22 (14-0-8 63.64%),15 (0.68),16 (13-0-3 81.25%),10 (0.63)
44,"Madden, Justin",33y 60d,280 (173-2-105 62.14%),181 (0.65),235 (143-2-90 61.28%),161 (0.69)
5,"McKay, Andrew",24y 16d,40 (28-1-11 71.25%),9 (0.22),←,
10,"Mitchell, Barry",28y 235d,198 (90-2-106 45.96%),234 (1.18),15 (12-0-3 80.00%),12 (0.80)
14,"Sexton, Michael",23y 147d,76 (45-1-30 59.87%),6 (0.08),←,
1,"Silvagni, Stephen",27y 60d,158 (101-1-56 64.24%),113 (0.72),←,
11,"Spalding, Earl",29y 141d,164 (108-1-55 66.16%),114 (0.70),55 (38-1-16 70.00%),51 (0.93)
2,"Williams, Greg",30y 303d,197 (113-1-83 57.61%),164 (0.83),56 (37-1-18 66.96%),36 (0.64)
Totals,Totals,26y 246d,2573 (1539-27-1007 59.81%),2114 (0.82),,
C,"Parkin, David",51y 321d,368 (216-2-150 58.97%),,205 (129-2-74 63.41%),
