Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
42,"Beasy, Callan",2,2,,2,,,6.0,1.0,,,,1.0,,1.0,,,2.0,,,1.0,,,28.0
18,"Bowyer, Glen",6,,5,11,,,,,2.0,,1.0,3.0,1.0,,,6.0,6.0,,,3.0,1.0,,90.0
16,"Camporeale, Scott",7,3,7,14,,,,8.0,1.0,1.0,3.0,3.0,1.0,2.0,,11.0,3.0,1.0,,4.0,,,98.0
26,"De Luca, Adrian",4,2,1,5,1,,7.0,1.0,,,,,,,,1.0,4.0,,1.0,3.0,,2.0,59.0
25,"Fevola, Brendan",11,9,1,12,6,1.0,,,,2.0,,,,,3.0,3.0,8.0,1.0,5.0,,,,100.0
14,"Fisher, Brad",3,3,1,4,1,,,,,1.0,,,,,,2.0,2.0,2.0,1.0,1.0,,1.0,48.0
33,"Houlihan, Ryan",10,3,4,14,1,,,1.0,4.0,4.0,2.0,3.0,,,,6.0,6.0,,1.0,2.0,2.0,1.0,100.0
10,"Johnson, Brett",8,2,9,17,,,,2.0,2.0,3.0,10.0,1.0,,,,14.0,3.0,,1.0,,,1.0,94.0
43,"Koutoufides, Anthony",7,4,4,11,1,,,3.0,1.0,,1.0,2.0,,,,5.0,6.0,,1.0,,,,60.0
12,"Lappin, Matthew",13,4,4,17,1,,,1.0,4.0,2.0,1.0,7.0,1.0,2.0,,8.0,10.0,2.0,,4.0,3.0,,99.0
20,"McGrath, Cory",12,4,1,13,,,1.0,8.0,4.0,2.0,1.0,2.0,1.0,1.0,,6.0,8.0,,,,,,100.0
3,"Morrell, Digby",9,5,,9,,,,2.0,3.0,,1.0,2.0,,1.0,,4.0,5.0,1.0,,8.0,,,100.0
37,"Norman, Karl",6,,2,8,,,2.0,2.0,1.0,4.0,,2.0,1.0,1.0,,5.0,3.0,,,3.0,,2.0,71.0
28,"Prendergast, Ian",5,1,3,8,1,,9.0,6.0,,1.0,1.0,3.0,1.0,1.0,,4.0,5.0,,,4.0,,,94.0
29,"Scotland, Heath",13,2,8,21,1,,,2.0,,4.0,4.0,1.0,1.0,,2.0,12.0,8.0,,1.0,2.0,4.0,1.0,98.0
6,"Simpson, Kade",,1,1,1,,,1.0,2.0,,,,2.0,,,,,1.0,,,2.0,,,30.0
24,"Stevens, Nick",12,2,12,24,,,,4.0,,5.0,6.0,3.0,1.0,1.0,,13.0,10.0,,,3.0,3.0,1.0,100.0
15,"Teague, David",5,2,5,10,,1.0,,2.0,4.0,1.0,,,1.0,,,8.0,3.0,1.0,,3.0,,,97.0
32,"Thornton, Bret",4,1,5,9,,,1.0,,3.0,,,1.0,1.0,1.0,,6.0,3.0,,,7.0,1.0,,100.0
30,"Waite, Jarrad",3,,1,4,,,,2.0,,2.0,1.0,2.0,1.0,1.0,,4.0,,,,1.0,,,43.0
8,"Whitnall, Lance",12,4,4,16,2,1.0,3.0,2.0,1.0,5.0,2.0,1.0,3.0,,,7.0,9.0,,,2.0,2.0,1.0,94.0
34,"Wiggins, Simon",11,2,2,13,,,2.0,8.0,,4.0,3.0,2.0,3.0,1.0,,9.0,3.0,,,2.0,,1.0,97.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,7.0,,,,,,,,,,,,,,,,,
Totals,Totals,163,56,80,243,15,10.0,32.0,57.0,30.0,41.0,37.0,41.0,17.0,13.0,5.0,134.0,108.0,8.0,11.0,55.0,16.0,11.0,
Opposition,Opposition,158,62,106,264,14,4.0,50.0,57.0,25.0,47.0,38.0,33.0,13.0,17.0,1.0,118.0,142.0,8.0,10.0,40.0,4.0,9.0,
