Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Anderson, Joe",6,2,7,13,,,,2.0,3.0,2.0,1.0,2.0,2.0,1.0,,8.0,7.0,,,4.0,,,83.0
27,"Armfield, Dennis",3,2,13,16,,,,1.0,1.0,1.0,,1.0,2.0,,,6.0,10.0,,,1.0,,,85.0
21,"Austin, Mark",4,2,5,9,,,,1.0,2.0,1.0,,,1.0,,,2.0,8.0,,,3.0,1.0,,81.0
7,"Bentick, Adam",7,6,11,18,,,,4.0,1.0,1.0,4.0,1.0,1.0,1.0,,9.0,9.0,,,2.0,,,51.0
18,"Bower, Paul",10,3,8,18,,,,2.0,4.0,,,4.0,2.0,2.0,,3.0,15.0,,,7.0,1.0,,93.0
28,"Cloke, Cameron",4,5,5,9,1,,10.0,2.0,1.0,1.0,,2.0,1.0,2.0,,4.0,5.0,,,4.0,,,77.0
25,"Fevola, Brendan",12,8,,12,7,3.0,1.0,1.0,,,,5.0,1.0,3.0,,2.0,10.0,1.0,8.0,2.0,,,100.0
14,"Fisher, Brad",6,4,4,10,,1.0,,,,1.0,,2.0,,,,4.0,5.0,1.0,,,,,81.0
4,"Gibbs, Bryce",15,11,17,32,2,,,2.0,5.0,3.0,3.0,1.0,3.0,,,8.0,26.0,,1.0,,4.0,1.0,87.0
16,"Grigg, Shaun",7,3,10,17,,1.0,,2.0,1.0,4.0,2.0,2.0,2.0,,,5.0,13.0,,,2.0,2.0,,81.0
22,"Hampson, Shaun",2,1,7,9,,,7.0,,,2.0,2.0,,1.0,,,4.0,6.0,,,1.0,,1.0,63.0
33,"Houlihan, Ryan",8,2,6,14,,1.0,,2.0,1.0,4.0,,1.0,,,,2.0,13.0,,,,2.0,1.0,75.0
5,"Judd, Chris",15,6,16,31,1,,,6.0,3.0,4.0,4.0,6.0,3.0,1.0,,9.0,22.0,1.0,,,,1.0,92.0
8,"Kreuzer, Matthew",7,5,6,13,,,13.0,,2.0,3.0,,2.0,1.0,,,5.0,9.0,1.0,,4.0,,,56.0
3,"Murphy, Marc",14,7,22,36,,,,2.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,13.0,24.0,,,2.0,6.0,2.0,92.0
36,"Pfeiffer, Darren",2,2,5,7,,,,4.0,1.0,2.0,,3.0,1.0,2.0,,3.0,5.0,,,2.0,,,61.0
2,"Russell, Jordan",7,4,7,14,1,,,3.0,1.0,4.0,1.0,,,,,4.0,9.0,,,,,,88.0
6,"Simpson, Kade",5,3,9,14,,,,,,1.0,2.0,2.0,2.0,,,5.0,9.0,,,,,2.0,83.0
24,"Stevens, Nick",4,1,8,12,,,,2.0,,1.0,2.0,,1.0,,,4.0,7.0,,,1.0,,1.0,90.0
32,"Thornton, Bret",15,3,5,20,,,,4.0,6.0,1.0,,1.0,1.0,,,6.0,13.0,,,6.0,3.0,,94.0
30,"Waite, Jarrad",6,5,4,10,,,,4.0,,1.0,1.0,2.0,,1.0,,2.0,8.0,,,2.0,,,92.0
1,"Walker, Andrew",10,11,12,22,,,,1.0,2.0,1.0,,3.0,,3.0,,4.0,17.0,2.0,,5.0,1.0,,94.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,96,187,356,12,9.0,31.0,45.0,39.0,43.0,27.0,43.0,28.0,18.0,2.0,112.0,250.0,6.0,9.0,48.0,20.0,9.0,
Opposition,Opposition,223,115,186,409,24,15.0,35.0,51.0,30.0,66.0,39.0,43.0,18.0,28.0,4.0,117.0,287.0,9.0,19.0,38.0,21.0,17.0,
