Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Alvin, Tom",10,1,1,11,,,,,,,,,1.0,2.0,,,,,,,,,
21,"Bradley, Craig",12,3,15,27,,2.0,,2.0,,,,,3.0,1.0,,,,,,,,,
20,"Brown, Fraser",9,1,12,21,1,,,1.0,,,,,,,,,,,,,,,
39,"Christou, Ang",5,,5,10,,,,,,,,,1.0,2.0,,,,,,,,,
34,"De Iulio, Ron",10,,9,19,2,2.0,,3.0,,,,,,,,,,,,,,,
35,"Dean, Peter",10,2,4,14,,1.0,,,,,,,1.0,,,,,,,,,,
6,"Dorotich, Jon",5,3,6,11,1,1.0,1.0,,,,,,3.0,4.0,,,,,,,,,
12,"Gleeson, Adrian",9,2,9,18,,,,3.0,,,,,1.0,,,,,,,,,,
13,"Hanna, Mil",22,6,2,24,2,1.0,,1.0,,,,,1.0,,,,,,,,,,
17,"Heaver, Brent",8,1,5,13,1,,,3.0,,,,,1.0,,,,,,,,,,
33,"Hogg, Matthew",10,,9,19,,,,3.0,,,,,,,,,,,,,,,
4,"Kernahan, Stephen",12,5,3,15,3,1.0,1.0,,,,,,,,,,,,,,,,
44,"Madden, Justin",7,2,5,12,,,14.0,,,,,,3.0,2.0,,,,,,,,,
5,"McKay, Andrew",6,2,3,9,1,,,,,,,,1.0,3.0,,,,,,,,,
7,"Ratten, Brett",11,3,8,19,,,,,,,,,,1.0,,,,,,,,,
14,"Sexton, Michael",9,3,,9,,,,,,,,,2.0,,,,,,,,,,
1,"Silvagni, Stephen",8,2,9,17,,,,1.0,,,,,2.0,5.0,,,,,,,,,
11,"Spalding, Earl",9,1,5,14,1,,1.0,,,,,,3.0,,,,,,,,,,
38,"Welsh, Rohan",2,1,3,5,2,,,,,,,,,,,,,,,,,,
2,"Williams, Greg",5,1,13,18,,,,1.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,39,126,305,14,12.0,17.0,18.0,,,,,23.0,20.0,,,,,,,,,
Opposition,Opposition,212,35,78,290,20,14.0,17.0,30.0,,,,,20.0,23.0,6.0,,,,,,,,
