North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
15,"Abraham, Winston",23y 236d,47 (24-0-23 51.06%),72 (1.53),9 (6-0-3 66.67%),17 (1.89)
14,"Anderson, Brady",22y 345d,9 (6-0-3 66.67%),,←,
11,"Archer, Glenn",25y 60d,126 (79-0-47 62.70%),86 (0.68),←,
26,"Bell, Peter",22y 83d,59 (37-0-22 62.71%),57 (0.97),57 (37-0-20 64.91%),55 (0.96)
12,"Blakey, John",31y 303d,258 (129-0-129 50.00%),81 (0.31),123 (77-0-46 62.60%),43 (0.35)
18,"Carey, Wayne",26y 361d,171 (102-0-69 59.65%),428 (2.50),←,
9,"Chandler, Brett",22y 316d,56 (18-0-38 32.14%),7 (0.13),28 (17-0-11 60.71%),5 (0.18)
6,"Grant, Shannon",21y 34d,67 (38-1-28 57.46%),53 (0.79),9 (6-0-3 66.67%),15 (1.67)
29,"Harvey, Brent",20y 9d,25 (16-0-9 64.00%),21 (0.84),←,
21,"Hewitt, Evan",19y 320d,10 (6-0-4 60.00%),8 (0.80),←,
34,"King, David",26y 77d,95 (60-0-35 63.16%),27 (0.28),←,
35,"Longmire, John",27y 143d,184 (95-1-88 51.90%),509 (2.77),←,
5,"McCartney, Jason",24y 70d,84 (40-0-44 47.62%),48 (0.57),9 (6-0-3 66.67%),
31,"McKernan, Corey",24y 155d,100 (67-0-33 67.00%),105 (1.05),←,
28,"Pickett, Byron",20y 285d,10 (6-0-4 60.00%),,←,
13,"Pike, Martin",25y 190d,90 (31-0-59 34.44%),48 (0.53),30 (19-0-11 63.33%),8 (0.27)
3,"Rock, Anthony",27y 236d,166 (99-0-67 59.64%),132 (0.80),←,
8,"Scott, Robert",29y 83d,215 (129-1-85 60.23%),210 (0.98),83 (54-0-29 65.06%),46 (0.55)
24,"Sholl, Craig",30y 144d,185 (107-0-78 57.84%),108 (0.58),←,
37,"Simpson, Adam",22y 96d,52 (36-0-16 69.23%),24 (0.46),←,
10,"Stevens, Anthony",26y 325d,165 (98-0-67 59.39%),80 (0.48),←,
30,"Welsh, Scott",19y 167d,10 (6-0-4 60.00%),4 (0.40),←,
Totals,Totals,24y 217d,2184 (1229-3-952 56.27%),2108 (0.97),,
C,"Pagan, Denis",50y 241d,129 (82-0-47 63.57%),,←,
