Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
47,"Angwin, Laurence",20y 328d,4 (0-0-4 0.00%),6 (1.50),←,
29,"Beaumont, Simon",27y 261d,152 (72-0-80 47.37%),89 (0.59),←,
16,"Camporeale, Scott",28y 20d,190 (101-0-89 53.16%),171 (0.90),←,
25,"Fevola, Brendan",22y 223d,63 (26-0-37 41.27%),129 (2.05),←,
14,"Fisher, Brad",19y 144d,16 (3-0-13 18.75%),18 (1.13),←,
31,"Fletcher, Simon",25y 14d,84 (39-0-45 46.43%),30 (0.36),←,
45,"Franchina, Anthony",25y 324d,105 (49-0-56 46.67%),26 (0.25),←,
11,"French, Barnaby",27y 279d,81 (38-1-42 47.53%),22 (0.27),19 (4-0-15 21.05%),2 (0.11)
33,"Houlihan, Ryan",21y 222d,76 (29-0-47 38.16%),67 (0.88),←,
27,"Hulme, Darren",26y 52d,103 (47-0-56 45.63%),51 (0.50),←,
43,"Koutoufides, Anthony",30y 225d,215 (120-1-94 56.05%),180 (0.84),←,
12,"Lappin, Matthew",27y 195d,170 (78-1-91 46.18%),173 (1.02),115 (50-0-65 43.48%),147 (1.28)
4,"Livingston, Luke",20y 300d,27 (4-0-23 14.81%),2 (0.07),←,
22,"Manton, Glenn",30y 91d,178 (99-0-79 55.62%),34 (0.19),157 (88-0-69 56.05%),30 (0.19)
41,"McCormick, Jonathon",22y 158d,21 (4-0-17 19.05%),5 (0.24),←,
5,"McKay, Andrew",33y 48d,244 (131-1-112 53.89%),28 (0.11),←,
2,"McKernan, Corey",29y 255d,223 (125-0-98 56.05%),293 (1.31),41 (6-0-35 14.63%),60 (1.46)
28,"Prendergast, Ian",22y 363d,32 (9-0-23 28.13%),8 (0.25),←,
36,"Sporn, Trent",20y 342d,22 (5-0-17 22.73%),3 (0.14),←,
32,"Thornton, Bret",19y 289d,31 (6-0-25 19.35%),1 (0.03),←,
30,"Waite, Jarrad",20y 208d,20 (3-0-17 15.00%),11 (0.55),←,
34,"Wiggins, Simon",20y 354d,39 (10-0-29 25.64%),10 (0.26),←,
Totals,Totals,24y 280d,2096 (998-4-1094 47.61%),1357 (0.65),,
C,"Pagan, Denis",55y 341d,262 (154-0-108 58.78%),,22 (4-0-18 18.18%),
