Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
24,"Allan, Matthew",23y 72d,62 (33-0-29 53.23%),22 (0.35),←,
21,"Bradley, Craig",34y 198d,273 (166-2-105 61.17%),198 (0.73),←,
16,"Camporeale, Scott",22y 271d,66 (42-0-24 63.64%),48 (0.73),←,
6,"Clape, Matt",28y 346d,84 (58-0-26 69.05%),61 (0.73),55 (37-0-18 67.27%),47 (0.85)
34,"De Iulio, Ron",26y 24d,76 (44-0-32 57.89%),56 (0.74),←,
35,"Dean, Peter",33y 61d,242 (148-1-93 61.36%),40 (0.17),←,
45,"Franchina, Anthony",20y 210d,5 (1-0-4 20.00%),1 (0.20),←,
36,"Hamill, Aaron",20y 262d,30 (11-0-19 36.67%),18 (0.60),←,
33,"Hogg, Matthew",29y 139d,159 (83-3-73 53.14%),39 (0.25),100 (59-1-40 59.50%),35 (0.35)
42,"Hoppner, Trent",19y 79d,1 (0-0-1 0.00%),,←,
27,"Hulme, Darren",20y 303d,15 (4-0-11 26.67%),2 (0.13),←,
43,"Koutoufides, Anthony",25y 111d,114 (68-1-45 60.09%),90 (0.79),←,
44,"Lang, Damian",22y 67d,6 (1-0-5 16.67%),4 (0.67),1 (0-0-1 0.00%),
17,"Lock, Damien",19y 220d,7 (1-0-6 14.29%),,←,
22,"Manton, Glenn",24y 342d,83 (49-0-34 59.04%),24 (0.29),62 (38-0-24 61.29%),20 (0.32)
15,"Nelson, Ben",21y 106d,2 (1-0-1 50.00%),,←,
19,"Pearce, Brad",26y 266d,59 (36-0-23 61.02%),115 (1.95),57 (36-0-21 63.16%),114 (2.00)
11,"Porter, Mark",21y 210d,11 (3-0-8 27.27%),4 (0.36),←,
7,"Ratten, Brett",26y 302d,149 (87-0-62 58.39%),37 (0.25),←,
23,"Rice, Dean",30y 53d,160 (71-1-88 44.69%),72 (0.45),44 (26-0-18 59.09%),29 (0.66)
14,"Sexton, Michael",27y 65d,155 (94-1-60 60.97%),16 (0.10),←,
8,"Whitnall, Lance",18y 259d,25 (10-0-15 40.00%),29 (1.16),←,
Totals,Totals,24y 263d,1784 (1011-9-764 56.67%),876 (0.49),,
C,"Parkin, David",55y 239d,452 (267-2-183 59.29%),,289 (180-2-107 62.63%),
