Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
40,"Bentick, Adam",20y 55d,11 (4-0-7 36.36%),2 (0.18),←,
19,"Betts, Eddie",18y 254d,16 (3-1-12 21.88%),16 (1.00),←,
27,"Bryan, Chris",23y 154d,9 (1-0-8 11.11%),4 (0.44),←,
16,"Camporeale, Scott",29y 361d,230 (114-0-116 49.57%),198 (0.86),←,
44,"Carrazzo, Andrew",21y 235d,19 (5-1-13 28.95%),2 (0.11),←,
22,"Chambers, Callum",25y 261d,62 (22-2-38 37.10%),40 (0.65),8 (2-1-5 31.25%),2 (0.25)
25,"Fevola, Brendan",24y 199d,100 (38-1-61 38.50%),242 (2.42),←,
14,"Fisher, Brad",21y 120d,35 (9-0-26 25.71%),42 (1.20),←,
11,"French, Barnaby",29y 255d,110 (48-2-60 44.55%),31 (0.28),48 (14-1-33 30.21%),11 (0.23)
43,"Koutoufides, Anthony",32y 201d,246 (130-2-114 53.25%),205 (0.83),←,
12,"Lappin, Matthew",29y 171d,211 (91-2-118 43.60%),219 (1.04),156 (63-1-92 40.71%),193 (1.24)
21,"Longmuir, Troy",26y 74d,82 (25-1-56 31.10%),49 (0.60),10 (2-1-7 25.00%),10 (1.00)
20,"McGrath, Cory",26y 184d,56 (27-1-28 49.11%),18 (0.32),28 (9-1-18 33.93%),4 (0.14)
3,"Morrell, Digby",25y 301d,69 (32-1-36 47.10%),55 (0.80),29 (12-0-17 41.38%),8 (0.28)
29,"Scotland, Heath",25y 17d,91 (36-0-55 39.56%),32 (0.35),38 (13-0-25 34.21%),20 (0.53)
6,"Simpson, Kade",21y 94d,18 (6-0-12 33.33%),8 (0.44),←,
24,"Stevens, Nick",25y 216d,166 (86-3-77 52.71%),99 (0.60),39 (12-1-26 32.05%),21 (0.54)
15,"Teague, David",24y 94d,73 (31-1-41 43.15%),6 (0.08),40 (13-1-26 33.75%),2 (0.05)
32,"Thornton, Bret",21y 265d,66 (17-0-49 25.76%),1 (0.02),←,
30,"Waite, Jarrad",22y 184d,47 (11-1-35 24.47%),50 (1.06),←,
8,"Whitnall, Lance",25y 349d,176 (81-1-94 46.31%),313 (1.78),←,
34,"Wiggins, Simon",22y 330d,60 (17-1-42 29.17%),14 (0.23),←,
Totals,Totals,24y 282d,1953 (834-21-1098 42.70%),1646 (0.84),,
C,"Pagan, Denis",57y 317d,303 (167-1-135 55.28%),,63 (17-1-45 27.78%),
